time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1733231770229223000,0.222222900390625,0.11699467152357101,0.04968341439962387,0.2393985092639923,0.9625654816627502,0.044981665909290314,-0.49212396144866943,-0.23060376942157745
1733231770238988800,0.23198876953125,0.1168588250875473,0.04960092157125473,0.23875154554843903,0.9627468585968018,0.045034728944301605,-0.4907723069190979,-0.23029953241348267
1733231770249321700,0.24232177734375,0.8098854422569275,0.21340611577033997,0.11745163798332214,0.5336183309555054,0.04253529757261276,-0.4904440939426422,-1.9657597541809082
1733231770259331600,0.25233154296875,0.8432918787002563,0.21990500390529633,0.10307467728853226,0.47945407032966614,0.041951753199100494,-0.4889819025993347,-2.097177267074585
1733231770269310700,0.262310791015625,0.8501455187797546,0.2220277041196823,0.09981631487607956,0.4668974280357361,0.04264272376894951,-0.4901062846183777,-2.126474142074585
1733231770279320600,0.272320556640625,0.8552334308624268,0.22481825947761536,0.09802967309951782,0.45653340220451355,0.04271339625120163,-0.4938868582248688,-2.1501646041870117
1733231770289330200,0.282330078125,0.8548058271408081,0.22871525585651398,0.09788897633552551,0.4554275572299957,0.046728864312171936,-0.5008564591407776,-2.1505773067474365
1733231770299309300,0.292309326171875,0.8567325472831726,0.23365391790866852,0.09621845930814743,0.4496191143989563,0.051820795983076096,-0.5085155367851257,-2.161531686782837
1733231770309319200,0.302319091796875,0.8569275736808777,0.23778395354747772,0.09568872302770615,0.4471888244152069,0.055976204574108124,-0.5156599879264832,-2.164877414703369
1733231770319329000,0.3123291015625,0.8524047136306763,0.24121816456317902,0.09798869490623474,0.4534514248371124,0.05974828079342842,-0.5237110257148743,-2.1477887630462646
1733231770329308400,0.322308349609375,0.8556076884269714,0.2468174397945404,0.09517728537321091,0.44492486119270325,0.06590285152196884,-0.5317602157592773,-2.1645848751068115
1733231770339318000,0.332318115234375,0.851343035697937,0.2507154047489166,0.09616010636091232,0.4506774842739105,0.07261552661657333,-0.5393332242965698,-2.1477768421173096
1733231770349328000,0.342327880859375,0.8503555059432983,0.2546388506889343,0.09569132328033447,0.4504415690898895,0.07807595282793045,-0.5460009574890137,-2.1454577445983887
1733231770359307000,0.35230712890625,0.8504503965377808,0.25826385617256165,0.09356154501438141,0.4486426115036011,0.08529265969991684,-0.550639808177948,-2.1466197967529297
1733231770369316900,0.36231689453125,0.8530080318450928,0.2616187632083893,0.08827471733093262,0.4428776502609253,0.09543732553720474,-0.5521460771560669,-2.156764507293701
1733231770379326700,0.37232666015625,0.8427144885063171,0.2602872848510742,0.09052567929029465,0.4624803066253662,0.10360099375247955,-0.5496964454650879,-2.1085145473480225
1733231770389305600,0.3823056640625,0.8513209819793701,0.26144158840179443,0.08308647572994232,0.44721099734306335,0.10831332951784134,-0.5462139248847961,-2.1438395977020264
