time,seconds_elapsed,z,y,x
1733237668479927600,0.202927490234375,-137.60000610351562,-35.79999923706055,13.100000381469727
1733237668489524700,0.212524658203125,-137.60000610351562,-33.60000228881836,11.90000057220459
1733237668499494400,0.222494384765625,-137.10000610351562,-33.29999923706055,11.100000381469727
1733237668509447700,0.23244775390625,-138,-32.60000228881836,11.300000190734863
1733237668519433000,0.242432861328125,-137.90000915527344,-32.400001525878906,10.699999809265137
1733237668529477400,0.252477294921875,-137.8000030517578,-32.29999923706055,11
1733237668539393500,0.2623935546875,-138.40000915527344,-32.5,11.100000381469727
1733237668549429200,0.27242919921875,-138.5,-31.700000762939453,10.800000190734863
1733237668559438000,0.28243798828125,-139.10000610351562,-32.29999923706055,10.40000057220459
1733237668569410800,0.292410888671875,-138.6999969482422,-32.60000228881836,10.100000381469727
1733237668579455700,0.302455810546875,-137.90000915527344,-31.700000762939453,10.699999809265137
1733237668589466000,0.312466064453125,-137.3000030517578,-32.79999923706055,9.600000381469727
1733237668599416300,0.322416259765625,-138.90000915527344,-31.899999618530273,10.40000057220459
1733237668609452800,0.332452880859375,-137.3000030517578,-32.20000076293945,10.300000190734863
1733237668619574500,0.342574462890625,-137.8000030517578,-31.899999618530273,10.300000190734863
1733237668629437200,0.352437255859375,-138.10000610351562,-32.10000228881836,10.300000190734863
1733237668639408600,0.36240869140625,-138.1999969482422,-31.80000114440918,10.300000190734863
1733237668649437000,0.37243701171875,-137.5,-32,10.40000057220459
1733237668659442200,0.382442138671875,-137.8000030517578,-32.10000228881836,10.100000381469727
1733237668669440300,0.392440185546875,-138.40000915527344,-32.29999923706055,10.40000057220459
1733237668679446500,0.402446533203125,-137.90000915527344,-32.60000228881836,9.5
1733237668689453600,0.41245361328125,-137.1999969482422,-33.10000228881836,10.100000381469727
1733237668699433500,0.42243359375,-138.60000610351562,-31.80000114440918,10.800000190734863
1733237668709444600,0.432444580078125,-138.1999969482422,-32.5,10.199999809265137
1733237668719427800,0.442427734375,-137,-33.10000228881836,10
1733237668729430300,0.45243017578125,-137.60000610351562,-32.900001525878906,10.199999809265137
1733237668739413000,0.4624130859375,-138.5,-32.60000228881836,9.5
1733237668749446000,0.47244580078125,-138.10000610351562,-32,9.5
1733237668759422700,0.482422607421875,-137.5,-31.80000114440918,9.90000057220459
1733237668769428000,0.492427978515625,-138,-31.899999618530273,10
1733237668779494700,0.50249462890625,-138,-31.899999618530273,10
1733237668789473800,0.512473876953125,-138,-32,10
1733237668799460600,0.522460693359375,-138.10000610351562,-32,9.90000057220459
1733237668809516800,0.532516845703125,-138.10000610351562,-32,9.90000057220459
1733237668819460400,0.54246044921875,-138.10000610351562,-32,9.90000057220459
1733237668829483800,0.55248388671875,-138.10000610351562,-32,9.90000057220459
1733237668839457300,0.562457275390625,-138.10000610351562,-32,9.90000057220459
1733237668849506000,0.572506103515625,-138.10000610351562,-32.10000228881836,9.90000057220459
1733237668859462700,0.582462646484375,-138.10000610351562,-32,9.90000057220459
1733237668869481700,0.592481689453125,-138.10000610351562,-32,9.90000057220459
1733237668879618600,0.60261865234375,-138.10000610351562,-32.10000228881836,9.90000057220459
1733237668889504000,0.61250390625,-138.10000610351562,-32.10000228881836,10
1733237668899466500,0.622466552734375,-138.10000610351562,-32.10000228881836,10
1733237668909460000,0.6324599609375,-138.10000610351562,-32.10000228881836,10
1733237668919498800,0.642498779296875,-138.10000610351562,-32.20000076293945,10
1733237668929494000,0.652493896484375,-138.10000610351562,-32.20000076293945,10
1733237668939441200,0.662441162109375,-138.10000610351562,-32.20000076293945,10.100000381469727
1733237668949452800,0.672452880859375,-138.10000610351562,-32.20000076293945,10.100000381469727
1733237668959466500,0.682466552734375,-138.10000610351562,-32.29999923706055,10.100000381469727
1733237668969571000,0.692571044921875,-138.10000610351562,-32.20000076293945,10.199999809265137
