time,seconds_elapsed,z,y,x
1733237668468836000,0.191836181640625,-17.700000762939453,-60.70000076293945,36.29999923706055
1733237668479581200,0.202581298828125,-21.200000762939453,-22.200000762939453,4.700000286102295
1733237668489178600,0.2121787109375,-21.200000762939453,-20,3.5
1733237668499148300,0.222148193359375,-20.700000762939453,-19.700000762939453,2.700000047683716
1733237668509101600,0.2321015625,-21.600000381469727,-19,2.9000000953674316
1733237668519087000,0.242087158203125,-21.5,-18.80000114440918,2.299999952316284
1733237668529131300,0.25213134765625,-21.399999618530273,-18.700000762939453,2.6000001430511475
1733237668539047200,0.262047119140625,-22,-18.899999618530273,2.700000047683716
1733237668549083100,0.272083251953125,-22.100000381469727,-18.100000381469727,2.4000000953674316
1733237668559091700,0.282091796875,-22.700000762939453,-18.700000762939453,2
1733237668569064700,0.292064697265625,-22.30000114440918,-19,1.7000000476837158
1733237668579109600,0.302109619140625,-21.5,-18.100000381469727,2.299999952316284
1733237668589120000,0.3121201171875,-20.899999618530273,-19.200000762939453,1.2000000476837158
1733237668599070200,0.3220703125,-22.5,-18.30000114440918,2
1733237668609106400,0.3321064453125,-20.899999618530273,-18.600000381469727,1.899999976158142
1733237668619228200,0.342228271484375,-21.399999618530273,-18.30000114440918,1.899999976158142
1733237668629090800,0.3520908203125,-21.700000762939453,-18.5,1.899999976158142
1733237668639062300,0.362062255859375,-21.80000114440918,-18.200000762939453,1.899999976158142
1733237668649090800,0.3720908203125,-21.100000381469727,-18.399999618530273,2
1733237668659095800,0.382095703125,-21.399999618530273,-18.5,1.7000000476837158
1733237668669094000,0.392093994140625,-22,-18.700000762939453,2
1733237668679100400,0.402100341796875,-21.5,-19,1.100000023841858
1733237668689107500,0.412107421875,-20.80000114440918,-19.5,1.7000000476837158
1733237668699087000,0.422087158203125,-22.200000762939453,-18.200000762939453,2.4000000953674316
1733237668709098500,0.432098388671875,-21.80000114440918,-18.899999618530273,1.8000000715255737
1733237668719081500,0.44208154296875,-20.600000381469727,-19.5,1.600000023841858
1733237668729084000,0.452083984375,-21.200000762939453,-19.30000114440918,1.8000000715255737
1733237668739067000,0.46206689453125,-22.100000381469727,-19,1.100000023841858
1733237668749099800,0.472099853515625,-21.700000762939453,-18.399999618530273,1.100000023841858
1733237668759076600,0.48207666015625,-21.100000381469727,-18.200000762939453,1.5
1733237668769084700,0.492084716796875,-21.600000381469727,-18.30000114440918,1.600000023841858
1733237668779151400,0.5021513671875,-21.600000381469727,-18.30000114440918,1.600000023841858
1733237668789130500,0.512130615234375,-21.600000381469727,-18.399999618530273,1.600000023841858
1733237668799117300,0.522117431640625,-21.700000762939453,-18.399999618530273,1.5
1733237668809173500,0.532173583984375,-21.700000762939453,-18.399999618530273,1.5
1733237668819117300,0.542117431640625,-21.700000762939453,-18.399999618530273,1.5
1733237668829140200,0.55214013671875,-21.700000762939453,-18.399999618530273,1.5
1733237668839114200,0.5621142578125,-21.700000762939453,-18.399999618530273,1.5
1733237668849162500,0.57216259765625,-21.700000762939453,-18.5,1.5
1733237668859119400,0.582119384765625,-21.700000762939453,-18.399999618530273,1.5
1733237668869138400,0.592138427734375,-21.700000762939453,-18.399999618530273,1.5
1733237668879275300,0.602275146484375,-21.700000762939453,-18.5,1.5
1733237668889160700,0.61216064453125,-21.700000762939453,-18.5,1.600000023841858
1733237668899123000,0.622123046875,-21.700000762939453,-18.5,1.600000023841858
1733237668909117000,0.632116943359375,-21.700000762939453,-18.5,1.600000023841858
1733237668919155500,0.642155517578125,-21.700000762939453,-18.600000381469727,1.600000023841858
1733237668929150500,0.652150390625,-21.700000762939453,-18.600000381469727,1.600000023841858
1733237668939097900,0.662097900390625,-21.700000762939453,-18.600000381469727,1.7000000476837158
1733237668949109500,0.672109619140625,-21.700000762939453,-18.600000381469727,1.7000000476837158
1733237668959123500,0.68212353515625,-21.700000762939453,-18.700000762939453,1.7000000476837158
1733237668969228000,0.69222802734375,-21.700000762939453,-18.600000381469727,1.8000000715255737
1733237668979110000,0.70210986328125,-21.80000114440918,-18.600000381469727,1.899999976158142
1733237668989136600,0.71213671875,-21.80000114440918,-18.600000381469727,1.899999976158142
1733237668999127300,0.722127197265625,-21.80000114440918,-18.600000381469727,2
