time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1733231803940405200,0.2124052734375,0.1173512190580368,0.001678130473010242,0.18101835250854492,0.9764519333839417,-0.04193360358476639,-0.36174339056015015,-0.24688471853733063
1733231803950433000,0.22243310546875,0.8232081532478333,0.14058999717235565,0.11580468714237213,0.5377285480499268,-0.04224372282624245,-0.3639974892139435,-1.992109775543213
1733231803960443000,0.23244287109375,0.8556674718856812,0.14832307398319244,0.10793277621269226,0.4839257299900055,-0.044095300137996674,-0.36643925309181213,-2.1203527450561523
1733231803970452700,0.24245263671875,0.8684834837913513,0.152328222990036,0.10513218492269516,0.45986923575401306,-0.04560401290655136,-0.3696436882019043,-2.176170587539673
1733231803980432000,0.252431884765625,0.8750388622283936,0.1540156602859497,0.10505305975675583,0.4467102587223053,-0.04966462031006813,-0.3719104528427124,-2.2069079875946045
1733231803990441700,0.262441650390625,0.8719596266746521,0.1518373340368271,0.10753730684518814,0.4528440535068512,-0.05368828773498535,-0.3706134855747223,-2.1936590671539307
1733231804000451300,0.272451416015625,0.8784244060516357,0.1507192999124527,0.10666579753160477,0.44076839089393616,-0.05845485255122185,-0.36700427532196045,-2.2223167419433594
1733231804010430500,0.282430419921875,0.88213050365448,0.14757345616817474,0.1055091992020607,0.4346674382686615,-0.0618523471057415,-0.35979345440864563,-2.237187623977661
1733231804020440300,0.2924404296875,0.8821185827255249,0.14335419237613678,0.10405607521533966,0.4364500939846039,-0.062278468161821365,-0.3508981466293335,-2.2337188720703125
1733231804030450200,0.3024501953125,0.8838388323783875,0.139363095164299,0.10082442313432693,0.43501898646354675,-0.06048353761434555,-0.3406184911727905,-2.2372331619262695
1733231804040429600,0.3124296875,0.8890038728713989,0.13622035086154938,0.09613882750272751,0.42646628618240356,-0.05790707841515541,-0.330166757106781,-2.2566699981689453
1733231804050439200,0.322439208984375,0.8897151350975037,0.13255757093429565,0.092418372631073,0.42695942521095276,-0.054030511528253555,-0.32024040818214417,-2.2554705142974854
1733231804060449000,0.332448974609375,0.8884523510932922,0.12974996864795685,0.08999998867511749,0.4309493601322174,-0.05057106167078018,-0.31322067975997925,-2.2463371753692627
1733231804070428400,0.342428466796875,0.8976744413375854,0.13122691214084625,0.08563951402902603,0.4118567705154419,-0.04798067361116409,-0.31113624572753906,-2.288816452026367
1733231804080438000,0.35243798828125,0.8938046097755432,0.1326202005147934,0.08676515519618988,0.4195201098918915,-0.04611385613679886,-0.31505897641181946,-2.2712385654449463
1733231804090447600,0.362447509765625,0.8919216990470886,0.13630487024784088,0.08833213150501251,0.42201200127601624,-0.04486478120088577,-0.32330384850502014,-2.26503586769104
1733231804100426800,0.3724267578125,0.8903356194496155,0.1367911696434021,0.08871746063232422,0.4251115620136261,-0.043985214084386826,-0.3246844410896301,-2.257868766784668
1733231804110436600,0.3824365234375,0.890182614326477,0.13784880936145782,0.08847278356552124,0.4251413643360138,-0.042562972754240036,-0.326413631439209,-2.2574853897094727
1733231804120446500,0.392446533203125,0.8944829702377319,0.13983875513076782,0.08667542785406113,0.4157317876815796,-0.0409855842590332,-0.3280886709690094,-2.278235673904419
1733231804130425900,0.40242578125,0.883999228477478,0.16084541380405426,0.10556493699550629,0.42606374621391296,-0.05349045991897583,-0.3836733102798462,-2.253739833831787
1733231804140435500,0.412435546875,0.876089334487915,0.16555166244506836,0.11371681839227676,0.43832486867904663,-0.05880306288599968,-0.4003773629665375,-2.2257206439971924
1733231804150445300,0.4224453125,0.8753898739814758,0.17106479406356812,0.11915939301252365,0.43615415692329407,-0.06496395915746689,-0.41527384519577026,-2.230806350708008
1733231804160424700,0.4324248046875,0.8716288805007935,0.174272358417511,0.1256115436553955,0.44058361649513245,-0.07193698734045029,-0.42737841606140137,-2.2211790084838867
1733231804170434300,0.442434326171875,0.8691224455833435,0.17687059938907623,0.13075761497020721,0.44299593567848206,-0.07798570394515991,-0.43707871437072754,-2.216157913208008
1733231804180444200,0.452444091796875,0.8646493554115295,0.1783270686864853,0.13503018021583557,0.44983088970184326,-0.08102106302976608,-0.44434022903442383,-2.2004780769348145
1733231804190453800,0.462453857421875,0.8610059022903442,0.1789361983537674,0.13728119432926178,0.45585599541664124,-0.081378273665905,-0.44814130663871765,-2.1862967014312744
1733231804200433000,0.472432861328125,0.8606031537055969,0.1795397400856018,0.13695000112056732,0.4564782381057739,-0.07979193329811096,-0.44898828864097595,-2.1844542026519775
1733231804210442800,0.48244287109375,0.865088164806366,0.18071579933166504,0.13325387239456177,0.44856175780296326,-0.07595518976449966,-0.4469480514526367,-2.202162504196167
1733231804220452600,0.49245263671875,0.8614635467529297,0.17866350710391998,0.13219177722930908,0.4566018879413605,-0.07155971974134445,-0.44287872314453125,-2.1829447746276855
1733231804230431700,0.502431640625,0.8635867834091187,0.17817121744155884,0.12784159183502197,0.4540148973464966,-0.06520764529705048,-0.43765494227409363,-2.188058376312256
1733231804240441600,0.512441650390625,0.8646324276924133,0.1777731031179428,0.1267477571964264,0.45248493552207947,-0.06435611844062805,-0.435782253742218,-2.1915781497955322
1733231804250451500,0.522451416015625,0.864805281162262,0.17714276909828186,0.12512074410915375,0.45285436511039734,-0.061703793704509735,-0.433126837015152,-2.1903977394104004
1733231804260430600,0.5324306640625,0.8651111125946045,0.17664960026741028,0.12210439890623093,0.45328593254089355,-0.05625675618648529,-0.4294155240058899,-2.188596725463867
1733231804270440400,0.5424404296875,0.8656356930732727,0.17662738263607025,0.1180771142244339,0.45336008071899414,-0.04862700775265694,-0.4255841076374054,-2.1871981620788574
