time,seconds_elapsed,temperature
1733231804737000000,1.009,22.3
1733231805738000000,2.009999755859375,22.3
1733231806738000000,3.009999755859375,22.3
1733231807736000000,4.008,22.3
1733231808738000000,5.009999755859375,22.3
1733231809740000000,6.012,22.3
