time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1732873141374000000,2.018000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873143373000000,4.017,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873145378000000,6.021999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873147374000000,8.018000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873149376000000,10.02,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873151374000000,12.018000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873153376000000,14.02,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873155374000000,16.018000244140627,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873157374000000,18.018000244140627,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873159375000000,20.019,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873161375000000,22.019,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873163378000000,24.021999755859376,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
1732873165379000000,26.023,wifi,true,true,true,false,,02:00:00:00:00:00,70,10.210.96.183,5500,,
