time,seconds_elapsed,lux
1733230310969185500,0.193185546875,400
1733230310994237400,0.218237548828125,399
1733230311114183200,0.33818310546875,398
1733230311274246100,0.49824609375,397
1733230311354224000,0.57822412109375,396
1733230311434237000,0.65823681640625,394
1733230311474217200,0.69821728515625,393
1733230311514249000,0.7382490234375,392
1733230311554374000,0.778373779296875,391
1733230311674239700,0.89823974609375,390
1733230311714241800,0.93824169921875,389
1733230311754264800,0.978264892578125,388
1733230311834251500,1.05825146484375,387
1733230311954258400,1.178258544921875,385
1733230311994328800,1.218328857421875,383
1733230312034230500,1.25823046875,381
1733230312074217700,1.2982177734375,379
1733230312114317300,1.3383173828125,376
1733230312154292200,1.378292236328125,372
1733230312194358000,1.41835791015625,368
1733230312234231300,1.458231201171875,363
1733230312274360600,1.498360595703125,359
1733230312314234000,1.538234130859375,356
1733230312354216000,1.5782158203125,354
1733230312394319400,1.6183193359375,353
1733230312434260200,1.65826025390625,350
1733230312474232000,1.698232177734375,347
1733230312514211000,1.738211181640625,342
1733230312554215700,1.778215576171875,335
1733230312594223000,1.81822314453125,330
1733230312634222600,1.85822265625,323
1733230312674217000,1.898217041015625,318
1733230312714217700,1.9382177734375,312
1733230312754338300,1.97833837890625,304
1733230312794211000,2.018211181640625,296
1733230312834222800,2.058222900390625,286
1733230312874217700,2.0982177734375,275
1733230312914327600,2.13832763671875,260
1733230312954217000,2.178217041015625,243
1733230312994215000,2.21821484375,226
1733230313034210600,2.25821044921875,209
1733230313074215200,2.298215087890625,193
1733230313114198500,2.338198486328125,174
1733230313154233600,2.378233642578125,157
1733230313194238700,2.41823876953125,138
1733230313234232000,2.458232177734375,121
1733230313274206000,2.4982060546875,110
1733230313314204200,2.5382041015625,99
1733230313354237200,2.5782373046875,88
1733230313394234600,2.618234619140625,77
1733230313434230300,2.658230224609375,63
1733230313474212900,2.698212890625,49
1733230313514209500,2.73820947265625,38
1733230313634306300,2.858306396484375,37
1733230313674241500,2.898241455078125,39
1733230313714304500,2.938304443359375,43
1733230313754211600,2.978211669921875,48
1733230313874237400,3.098237548828125,47
1733230314074322000,3.298322021484375,48
1733230314114263600,3.338263671875,49
1733230314234223000,3.45822314453125,45
1733230314314377700,3.538377685546875,46
1733230314354212600,3.578212646484375,47
1733230314394252300,3.618252197265625,52
1733230314434258400,3.658258544921875,62
1733230314474203400,3.698203369140625,80
1733230314514225400,3.738225341796875,101
1733230314554337300,3.778337158203125,121
1733230314594281700,3.81828173828125,140
1733230314634293500,3.85829345703125,163
1733230314674344000,3.898343994140625,183
1733230314714270000,3.93827001953125,205
1733230314754308600,3.97830859375,229
1733230314794213000,4.018213134765625,307
1733230314834227200,4.058227294921875,317
1733230314874241800,4.09824169921875,323
1733230314914220500,4.138220458984375,326
1733230314954222600,4.17822265625,328
1733230314994232000,4.218232177734375,331
1733230315034350800,4.258350830078125,335
1733230315074193400,4.298193359375,340
1733230315114210000,4.3382099609375,344
1733230315154281200,4.37828125,355
1733230315194230000,4.41822998046875,365
1733230315234232000,4.458232177734375,377
1733230315274238700,4.49823876953125,383
1733230315314272000,4.53827197265625,384
1733230315434234000,4.658234130859375,383
1733230315474226000,4.698225830078125,375
1733230315514220000,4.738219970703125,364
1733230315554235000,4.77823486328125,352
1733230315594242000,4.818241943359375,335
1733230315634229000,4.85822900390625,318
1733230315674374400,4.89837451171875,305
1733230315714377500,4.93837744140625,295
1733230315754232000,4.978232177734375,289
1733230315794321200,5.018321044921875,286
1733230315834218800,5.05821875,279
1733230315874263000,5.098262939453125,271
1733230315914220500,5.138220458984375,262
1733230315954211800,5.1782119140625,253
1733230315994223400,5.218223388671875,245
1733230316034205400,5.258205322265625,236
1733230316074255400,5.29825537109375,227
1733230316114246100,5.33824609375,218
1733230316154251500,5.37825146484375,211
1733230316194334500,5.41833447265625,205
1733230316234323000,5.458322998046875,200
1733230316274388700,5.498388671875,195
1733230316314218800,5.53821875,190
1733230316354192400,5.5781923828125,185
1733230316394227500,5.6182275390625,181
1733230316434236400,5.658236328125,178
1733230316474324700,5.69832470703125,175
1733230316514225000,5.738224853515625,173
1733230316554182100,5.77818212890625,172
