X,Y,MagX,MagY,MagZ,UncalMagX,UncalMagY,UncalMagZ,BiasX,BiasY,BiasZ
60,-11,29.6,-15.5,-17.800001,38.0,-29.1,-134.2,8.400001,-13.6,-116.4
60,-10,30.5,-14.3,-23.6,38.8,-27.800001,-139.8,8.400001,-13.6,-116.4
60,-9,33.100002,-16.1,-26.6,41.5,-29.7,-143.0,8.400001,-13.6,-116.4
60,-8,37.2,-17.2,-26.1,45.5,-30.800001,-142.6,8.400001,-13.6,-116.4
60,-7,33.9,-17.300001,-24.800001,42.4,-30.9,-141.2,8.400001,-13.6,-116.4
60,-6,31.6,-16.7,-23.0,40.0,-30.300001,-139.40001,8.400001,-13.6,-116.4
60,-5,30.5,-15.400001,-21.9,38.9,-29.1,-138.3,8.400001,-13.6,-116.4
60,-4,30.9,-13.0,-22.9,39.3,-26.6,-139.3,8.400001,-13.6,-116.4
60,-3,31.800001,-12.1,-26.6,40.2,-25.7,-143.0,8.400001,-13.6,-116.4
60,-2,31.7,-12.1,-29.300001,40.100002,-25.7,-145.7,8.400001,-13.6,-116.4
60,-1,30.4,-14.5,-34.600002,38.8,-28.0,-150.90001,8.400001,-13.6,-116.4
60,0,31.300001,-8.400001,-58.8,39.7,-22.0,-175.2,8.400001,-13.6,-116.4
47,-12,26.300001,-27.0,-11.7,34.7,-40.600002,-128.1,8.400001,-13.6,-116.4
47,-11,22.0,-25.4,-11.7,30.4,-39.0,-128.1,8.400001,-13.6,-116.4
47,-10,16.4,-16.6,-14.8,24.9,-30.7,-131.0,8.400001,-13.6,-116.4
47,-9,20.5,-2.7,-12.5,28.9,-16.300001,-128.90001,8.400001,-13.6,-116.4
47,-8,42.5,-11.400001,-4.1,50.9,-25.0,-120.5,8.400001,-13.6,-116.4
47,-7,44.3,-16.5,-0.90000004,52.7,-30.1,-117.3,8.400001,-13.6,-116.4
47,-6,51.3,-25.5,-7.3,59.7,-39.100002,-123.700005,8.400001,-13.6,-116.4
47,-5,44.8,-28.7,-10.3,53.2,-42.3,-126.700005,8.400001,-13.6,-116.4
47,-4,42.5,-26.300001,-19.300001,50.9,-39.9,-135.7,8.400001,-13.6,-116.4
47,-3,41.9,-24.1,-25.6,50.3,-37.7,-142.0,8.400001,-13.6,-116.4
47,-2,39.7,-23.4,-25.0,48.100002,-37.0,-141.40001,8.400001,-13.6,-116.4
47,-1,31.2,-17.6,-25.6,39.600002,-31.2,-142.0,8.400001,-13.6,-116.4
47,0,21.800001,-15.900001,-24.6,30.1,-29.7,-141.2,8.400001,-13.6,-116.4
6,-13,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
6,-14,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
5,-16,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
5,-17,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
5,-18,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
5,-19,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
6,-20,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
7,-21,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
8,-22,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
9,-23,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
10,-24,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-25,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-26,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-27,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-28,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-29,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-30,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-31,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-32,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
11,-33,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
12,-34,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
15,-36,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
15,-38,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
15,-40,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
16,-40,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
17,-40,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
18,-40,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
19,-40,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
6,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
7,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
8,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
9,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
10,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
12,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
13,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
14,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
15,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
16,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
17,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
18,-12,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9
