X,Y,MagX,MagY,MagZ,UncalMagX,UncalMagY,UncalMagZ,BiasX,BiasY,BiasZ
0,0,7.74,-29.64,-30.359999,-1.3199999,5.04,-9.24,-8.94,34.8,21.539999
1,0,4.3199997,-23.58,-26.34,-4.44,10.92,-5.3399997,-8.94,34.8,21.539999
2,0,4.02,-21.24,-27.72,-4.3199997,13.2,-8.22,-8.94,34.8,21.539999
3,0,6.48,-23.58,-26.279999,-1.86,11.16,-5.1,-8.94,34.8,21.539999
4,0,7.98,-20.699999,-28.38,-0.53999996,14.04,-7.3799996,-8.94,34.8,21.539999
5,0,13.08,-15.179999,-29.099998,4.2599998,19.32,-7.14,-8.94,34.8,21.539999
6,0,6.2999997,-13.5,-29.519999,-2.58,20.58,-9.78,-8.94,34.8,21.539999
7,0,12.84,-16.92,-34.079998,3.36,17.22,-12.54,-8.94,34.8,21.539999
8,0,14.639999,-18.3,-43.2,6.12,16.38,-21.06,-8.94,34.8,21.539999
9,0,9.0,-14.34,-44.76,0.24,20.46,-23.1,-8.94,34.8,21.539999
10,0,-0.84,-10.5,-42.96,-9.719999,23.699999,-21.359999,-8.94,34.8,21.539999
11,0,-7.68,-8.58,-36.059998,-17.279999,25.439999,-16.08,-8.94,34.8,21.539999
12,0,-3.4199998,-0.17999999,-22.8,-12.179999,34.739998,-0.48,-8.94,34.8,21.539999
13,0,8.76,0.59999996,-19.439999,0.29999998,35.7,1.3199999,-8.94,34.8,21.539999
14,0,15.059999,-1.38,-21.96,5.8199997,33.059998,-1.3199999,-8.94,34.8,21.539999
15,0,18.06,-5.8199997,-28.68,9.24,28.859999,-6.8399997,-8.94,34.8,21.539999
16,0,21.66,-14.219999,-35.16,13.0199995,20.699999,-13.259999,-8.94,34.8,21.539999
17,0,20.88,-22.38,-37.92,11.4,11.94,-16.619999,-8.94,34.8,21.539999
18,0,18.96,-27.779999,-43.44,10.679999,6.7799997,-21.119999,-8.94,34.8,21.539999
19,0,15.78,-32.76,-43.92,7.02,2.04,-22.26,-8.94,34.8,21.539999
20,0,11.099999,-27.9,-45.18,1.8,6.2999997,-23.58,-8.94,34.8,21.539999
21,0,9.599999,-21.42,-40.68,0.71999997,13.08,-18.359999,-8.94,34.8,21.539999
22,0,10.32,-15.96,-38.7,1.1999999,18.72,-16.74,-8.94,34.8,21.539999
23,0,10.86,-13.139999,-42.3,1.74,21.96,-21.119999,-8.94,34.8,21.539999
24,0,9.12,-13.679999,-35.28,0.53999996,21.18,-13.38,-8.94,34.8,21.539999
25,0,7.14,-15.179999,-33.42,-1.9799999,20.22,-9.54,-8.94,34.8,21.539999
26,0,2.52,-17.039999,-28.199999,-6.54,17.58,-7.44,-8.94,34.8,21.539999
27,0,-2.82,-17.82,-26.58,-11.28,17.4,-4.2,-8.94,34.8,21.539999
28,0,-1.86,-18.539999,-17.34,-11.34,16.199999,2.9399998,-8.94,34.8,21.539999
29,0,-2.7,-19.68,-12.54,-11.88,15.9,9.48,-8.94,34.8,21.539999
30,0,0.84,-22.5,-9.48,-7.7999997,12.78,11.7,-8.94,34.8,21.539999
31,0,4.74,-24.48,-8.82,-3.84,10.139999,14.28,-8.94,34.8,21.539999
32,0,5.4,-29.34,-10.62,-3.12,5.8799996,11.7,-8.94,34.8,21.539999
33,0,4.98,-30.599998,-10.32,-4.02,4.56,10.32,-8.94,34.8,21.539999
34,0,4.74,-26.939999,-11.04,-3.8999999,8.099999,10.62,-8.94,34.8,21.539999
35,0,4.7999997,-23.58,-9.9,-4.2599998,11.16,12.36,-8.94,34.8,21.539999
36,0,6.96,-23.46,-8.82,-1.86,11.4,12.78,-8.94,34.8,21.539999
37,0,13.559999,-22.68,-11.04,4.5,12.12,11.28,-8.94,34.8,21.539999
38,0,18.18,-26.22,-13.559999,9.24,7.9199996,7.5,-8.94,34.8,21.539999
39,0,19.56,-27.72,-20.939999,10.679999,7.44,0.53999996,-8.94,34.8,21.539999
39,1,15.059999,-23.34,-24.119999,5.2799997,10.92,-2.04,-8.94,34.8,21.539999
39,2,7.2,-16.02,-29.4,-1.4399999,18.84,-7.9199996,-8.94,34.8,21.539999
39,3,1.56,-8.22,-36.719997,-7.2599998,26.519999,-15.12,-8.94,34.8,21.539999
39,4,-7.5,-6.12,-40.379997,-16.08,28.859999,-19.14,-8.94,34.8,21.539999
39,5,-7.68,-15.0,-40.8,-16.38,19.98,-19.32,-8.94,34.8,21.539999
39,6,1.86,-27.24,-39.36,-7.2599998,7.3199997,-18.539999,-8.94,34.8,21.539999
39,7,18.84,-29.46,-39.54,9.36,5.64,-18.6,-8.94,34.8,21.539999
39,8,27.779999,-25.439999,-45.539997,19.08,9.059999,-24.359999,-8.94,34.8,21.539999
39,9,31.439999,-26.64,-46.739998,22.02,7.7999997,-23.939999,-8.94,34.8,21.539999
40,9,27.24,-22.199999,-31.019999,18.6,12.66,-8.7,-8.94,34.8,21.539999
40,8,27.24,-28.199999,-29.22,18.84,6.6,-7.5,-8.94,34.8,21.539999
40,7,30.539999,-25.56,-19.38,22.08,9.3,1.9799999,-8.94,34.8,21.539999
40,6,22.74,-18.0,-16.199999,14.04,16.74,4.68,-8.94,34.8,21.539999
40,5,16.68,-12.96,-18.96,7.62,21.48,2.34,-8.94,34.8,21.539999
40,4,2.8799999,-8.5199995,-21.06,-6.72,25.98,0.24,-8.94,34.8,21.539999
40,3,0.53999996,-13.86,-22.32,-7.62,20.58,-1.38,-8.94,34.8,21.539999
40,2,6.96,-23.519999,-23.519999,-2.46,11.04,-2.76,-8.94,34.8,21.539999
40,1,11.28,-32.1,-23.1,2.82,2.6399999,-1.38,-8.94,34.8,21.539999
40,0,16.14,-32.82,-21.779999,7.2,1.8,-1.3199999,-8.94,34.8,21.539999
41,0,15.9,-35.219997,-26.46,6.72,-0.48,-5.04,-8.94,34.8,21.539999
42,0,18.9,-31.8,-21.779999,10.2,2.9399998,-0.48,-8.94,34.8,21.539999
43,0,22.859999,-28.8,-22.5,14.099999,6.0,-1.1999999,-8.94,34.8,21.539999
44,0,24.72,-26.46,-27.72,15.719999,8.099999,-5.58,-8.94,34.8,21.539999
