time,seconds_elapsed,lux
1733237885044214800,0.19421484375,164
1733237885048996900,0.198996826171875,165
1733237885088938200,0.238938232421875,167
1733237885128868600,0.27886865234375,169
1733237885168958000,0.3189580078125,170
1733237885248863500,0.398863525390625,171
1733237885329054700,0.4790546875,169
1733237885369042200,0.519042236328125,168
1733237885488943400,0.638943359375,167
1733237885648979200,0.798979248046875,168
1733237885728931300,0.878931396484375,167
1733237885769059800,0.919059814453125,166
1733237885848926200,0.99892626953125,167
1733237885888942000,1.038942138671875,166
1733237885928952000,1.0789521484375,165
1733237885968928800,1.1189287109375,164
1733237886008917800,1.158917724609375,162
1733237886048943000,1.198943115234375,158
1733237886088983800,1.23898388671875,152
1733237886128897300,1.278897216796875,150
1733237886168999400,1.31899951171875,149
1733237886408950000,1.558949951171875,148
1733237886448956000,1.598955810546875,147
1733237886488963800,1.6389638671875,146
1733237886689038300,1.839038330078125,147
1733237886809015300,1.959015380859375,146
1733237886848912600,1.99891259765625,144
1733237886889014500,2.0390146484375,143
1733237886928965400,2.07896533203125,142
1733237886969034000,2.119033935546875,140
1733237887008945400,2.1589453125,137
1733237887048931800,2.198931884765625,134
1733237887089055700,2.2390556640625,133
1733237887128933600,2.27893359375,132
1733237887168939000,2.31893896484375,131
1733237887288924200,2.438924072265625,132
1733237887329037300,2.479037353515625,134
1733237887368947000,2.518947021484375,135
1733237887528910300,2.678910400390625,134
1733237887568930800,2.718930908203125,130
1733237887608943900,2.75894384765625,125
1733237887648956700,2.798956787109375,123
1733237887768968200,2.91896826171875,125
1733237887808970800,2.958970703125,127
1733237887848941800,2.99894189453125,128
1733237887968906000,3.118906005859375,127
1733237888008914400,3.15891455078125,126
1733237888168958200,3.318958251953125,127
1733237888208931600,3.358931640625,128
1733237888288945200,3.438945068359375,129
1733237888369067300,3.5190673828125,127
1733237888408996000,3.55899609375,126
1733237888448945700,3.598945556640625,125
1733237888488975600,3.6389755859375,124
1733237888568914200,3.7189140625,123
1733237888608947000,3.758947021484375,122
1733237888649102600,3.7991025390625,121
1733237888728939300,3.878939208984375,120
1733237888808937000,3.95893701171875,117
1733237888848907500,3.998907470703125,110
1733237888889025500,4.039025634765625,99
1733237888929049900,4.0790498046875,88
1733237888968945700,4.118945556640625,79
1733237889008962600,4.158962646484375,76
1733237889128975400,4.278975341796875,75
1733237889208949800,4.35894970703125,76
1733237889288938500,4.4389384765625,77
1733237889328954600,4.47895458984375,78
1733237889368960300,4.518960205078125,80
1733237889408927200,4.55892724609375,84
1733237889448950300,4.5989501953125,90
1733237889488969200,4.63896923828125,94
1733237889528962800,4.678962890625,97
1733237889568970200,4.71897021484375,98
1733237889648964900,4.79896484375,99
1733237889689072000,4.839072021484375,100
1733237889729036800,4.879036865234375,102
1733237889768971800,4.9189716796875,105
1733237889809092000,4.959092041015625,110
1733237889848903200,4.998903076171875,114
1733237889889054700,5.0390546875,118
1733237889928912400,5.078912353515625,119
