time,seconds_elapsed,temperature
1733404607701000000,1.008,17.7
1733404608703000000,2.01,17.7
1733404609705000000,3.012,17.7
1733404610703000000,4.01,17.7
1733404611702000000,5.009000244140625,17.7
1733404612703000000,6.01,17.7
1733404613701000000,7.008,17.7
1733404614703000000,8.01,17.7
1733404615704000000,9.011,17.7
1733404616704000000,10.011,17.7
1733404617704000000,11.011,17.7
1733404618705000000,12.012,17.7
1733404619705000000,13.012,17.7
1733404620707000000,14.014,18.1
1733404621706000000,15.012999755859376,18.1
1733404622707000000,16.014,18.1
1733404623707000000,17.014,18.1
1733404624707000000,18.014,18.1
1733404625708000000,19.015,18.1
1733404626708000000,20.015,18.1
1733404627709000000,21.016,18.1
1733404628713000000,22.02,18.1
1733404629710000000,23.017000244140625,18.1
1733404630714000000,24.020999755859375,18.1
1733404631713000000,25.02,18.1
1733404632712000000,26.019,18.1
1733404633711000000,27.018,18.1
1733404634711000000,28.018,18.1
1733404635716000000,29.023,18.1
1733404636712000000,30.019,18.1
1733404637711000000,31.018,18.1
1733404638714000000,32.02099975585938,18.1
1733404639711000000,33.018,18.1
1733404640715000000,34.022,18.1
1733404641713000000,35.02,18.1
1733404642714000000,36.02099975585938,18.1
1733404643714000000,37.02099975585938,18.1
1733404644711000000,38.018,18.1
1733404645714000000,39.02099975585938,18.1
1733404646714000000,40.02099975585938,18.1
1733404647714000000,41.02099975585938,18.1
1733404648714000000,42.02099975585938,18.1
