time,seconds_elapsed,brightness
1733404607701000000,1.008,0.5
1733404608704000000,2.011,0.5
1733404609706000000,3.012999755859375,0.5
1733404610704000000,4.011,0.5
1733404611702000000,5.009000244140625,0.5
1733404612703000000,6.01,0.5
1733404613702000000,7.009000244140625,0.5
1733404614704000000,8.011,0.5
1733404615706000000,9.012999755859376,0.5
1733404616705000000,10.012,0.5
1733404617706000000,11.012999755859376,0.5
1733404618706000000,12.012999755859376,0.5
1733404619706000000,13.012999755859376,0.5
1733404620708000000,14.015,0.5
1733404621707000000,15.014,0.5
1733404622708000000,16.015,0.5
1733404623707000000,17.014,0.5
1733404624708000000,18.015,0.5
1733404625709000000,19.016,0.5
1733404626709000000,20.016,0.5
1733404627710000000,21.017000244140625,0.5
1733404628714000000,22.020999755859375,0.5
1733404629711000000,23.018,0.5
1733404630715000000,24.022,0.5
1733404631713000000,25.02,0.5
1733404632713000000,26.02,0.5
1733404633712000000,27.019,0.5
1733404634711000000,28.018,0.5
1733404635717000000,29.024,0.5
1733404636712000000,30.019,0.5
1733404637711000000,31.018,0.5
1733404638715000000,32.022,0.5
1733404639712000000,33.019,0.5
1733404640716000000,34.023,0.5
1733404641715000000,35.022,0.5
1733404642715000000,36.022,0.5
1733404643715000000,37.022,0.5
1733404644712000000,38.019,0.5
1733404645715000000,39.022,0.5
1733404646714000000,40.02099975585938,0.5
1733404647715000000,41.022,0.5
1733404648714000000,42.02099975585938,0.5
