time,seconds_elapsed,steps
1733404607295341000,0.602341064453125,0
1733404612815399200,6.122399169921875,6
1733404613375368400,6.682368408203125,7
1733404614015486000,7.32248583984375,8
1733404614975366700,8.28236669921875,9
1733404615535357400,8.842357421875,10
1733404616015359500,9.322359375,11
1733404616575379500,9.88237939453125,12
1733404617215330600,10.52233056640625,13
1733404617935349000,11.242348876953125,14
1733404618335524900,11.64252490234375,15
1733404618895366700,12.20236669921875,16
1733404619455424800,12.7624248046875,17
1733404620095370000,13.402369873046876,18
1733404620655354600,13.962354736328125,19
1733404621215371000,14.52237109375,20
1733404621455342600,14.762342529296875,21
1733404621775784400,15.082784423828125,22
1733404622335812600,15.6428125,23
1733404622975807500,16.282807373046875,24
1733404623535792400,16.84279248046875,25
1733404625455796200,18.762796142578125,26
1733404626095776300,19.4027763671875,27
1733404626655820500,19.962820556640626,28
1733404626895837700,20.202837646484376,29
1733404627295917800,20.602917724609377,30
1733404627615779600,20.922779541015625,31
1733404627935845000,21.24284521484375,32
1733404629855809000,23.16280908203125,33
1733404630095972400,23.402972412109374,34
1733404630495807200,23.80280712890625,35
1733404631135796200,24.442796142578125,36
1733404631695825200,25.0028251953125,37
1733404632255934500,25.5629345703125,38
1733404632815975200,26.12297509765625,39
1733404634015629300,27.32262939453125,40
1733404634575651000,27.882651123046877,41
1733404635215628800,28.52262890625,42
1733404635935662300,29.242662353515627,43
1733404636335679500,29.642679443359373,44
1733404636975615000,30.282614990234375,45
1733404638175669000,31.4826689453125,46
1733404638495766800,31.802766845703125,47
1733404639215643400,32.522643310546876,48
1733404639855826200,33.162826171875,49
1733404640495599900,33.80259985351562,50
1733404640975649000,34.28264892578125,51
1733404641535627000,34.842626953125,52
1733404642175434000,35.48243408203125,53
1733404642735420700,36.042420654296876,54
1733404643295440600,36.60244067382813,55
1733404643855455200,37.16245532226562,56
1733404644415440100,37.72244018554687,57
1733404645055386000,38.36238623046875,58
1733404645775444200,39.0824443359375,59
1733404646175438800,39.48243896484375,60
1733404646815502600,40.12250268554688,61
1733404647375372000,40.6823720703125,62
1733404648015418600,41.32241870117188,63
1733404648655398000,41.96239794921875,64
1733404649135445500,42.44244555664063,65
