time,seconds_elapsed,lux
1733404607219926800,0.5269267578125,163
1733404607235505700,0.542505615234375,162
1733404607275368200,0.5823681640625,161
1733404607315390000,0.622389892578125,159
1733404607355377000,0.662376953125,158
1733404607395417600,0.70241748046875,157
1733404607555377000,0.862376953125,158
1733404607595419400,0.90241943359375,159
1733404607635394600,0.94239453125,161
1733404607675420400,0.98242041015625,163
1733404607795412000,1.102411865234375,160
1733404607835431700,1.142431640625,157
1733404607875426600,1.182426513671875,151
1733404607915399200,1.222399169921875,144
1733404607955418400,1.26241845703125,140
1733404607995408100,1.302408203125,136
1733404608035408000,1.342407958984375,134
1733404608075558700,1.38255859375,131
1733404608115440400,1.4224404296875,129
1733404608155424500,1.462424560546875,127
1733404608195472000,1.502471923828125,125
1733404608235399000,1.54239892578125,123
1733404608275434200,1.582434326171875,122
1733404608435514400,1.742514404296875,124
1733404608475457800,1.782457763671875,127
1733404608515522300,1.822522216796875,131
1733404608555473400,1.862473388671875,136
1733404608595411200,1.9024111328125,143
1733404608635442000,1.94244189453125,150
1733404608675525000,1.982525146484375,151
1733404608795506000,2.102505859375,148
1733404608835420000,2.142419921875,142
1733404608875432700,2.1824326171875,134
1733404608915425800,2.22242578125,132
1733404608955559200,2.26255908203125,131
1733404608995458000,2.3024580078125,130
1733404609075417000,2.3824169921875,128
1733404609115617500,2.422617431640625,127
1733404609155486700,2.46248681640625,126
1733404609195380500,2.50238037109375,125
1733404609275373300,2.582373291015625,124
1733404609435388400,2.742388427734375,125
1733404609475429400,2.782429443359375,128
1733404609515414000,2.8224140625,134
1733404609555430400,2.862430419921875,135
1733404609675402200,2.98240234375,132
1733404609715417000,3.0224169921875,127
1733404609755405800,3.06240576171875,121
1733404609795411000,3.102410888671875,120
1733404609835408400,3.142408447265625,119
1733404610075419100,3.382419189453125,118
1733404610115444000,3.42244384765625,117
1733404610155375900,3.4623759765625,114
1733404610195406300,3.50240625,112
1733404610235408000,3.542407958984375,111
1733404610355390700,3.662390625,114
1733404610395468300,3.70246826171875,118
1733404610435420400,3.74242041015625,126
1733404610475490600,3.782490478515625,128
1733404610595396000,3.90239599609375,127
1733404610635426800,3.9424267578125,125
1733404610675426600,3.982426513671875,117
1733404610715381200,4.02238134765625,115
1733404610755403500,4.062403564453125,112
1733404611235436800,4.542436767578125,115
1733404611275391200,4.58239111328125,116
1733404611435396400,4.742396240234375,114
1733404611475526100,4.782526123046875,110
1733404611515434200,4.822434326171875,107
1733404611555428600,4.8624287109375,103
1733404611595409400,4.902409423828125,101
1733404611635406800,4.94240673828125,99
1733404611675432400,4.982432373046875,98
1733404611875431400,5.182431396484375,99
1733404611955528700,5.26252880859375,102
1733404611995398100,5.302398193359375,104
1733404612035506400,5.34250634765625,107
1733404612075664000,5.382663818359375,110
1733404612115420000,5.422419921875,113
1733404612155417000,5.4624169921875,116
1733404612195425000,5.502425048828125,118
1733404612315414300,5.622414306640625,117
1733404612355411000,5.662410888671875,114
1733404612395436800,5.702436767578125,113
1733404612435509800,5.742509765625,111
1733404612555414300,5.862414306640625,112
1733404612595416600,5.90241650390625,113
1733404612635388700,5.942388671875,114
1733404612675406600,5.982406494140625,115
1733404612715379500,6.02237939453125,116
1733404613035400400,6.342400390625,119
1733404613075417600,6.38241748046875,124
1733404613115417900,6.42241796875,126
1733404613235441000,6.54244091796875,125
1733404613275387600,6.5823876953125,121
1733404613315417600,6.62241748046875,118
1733404613475433000,6.782432861328125,121
1733404613515428000,6.822427978515625,126
1733404613555443000,6.86244287109375,130
1733404613595393500,6.9023935546875,133
1733404613635434800,6.942434814453125,135
1733404613675435000,6.98243505859375,136
1733404613835496000,7.142495849609375,134
1733404613955557600,7.2625576171875,135
1733404613995424000,7.302424072265625,138
1733404614075421400,7.38242138671875,139
1733404614195412500,7.50241259765625,137
1733404614235441000,7.54244091796875,133
1733404614275389400,7.582389404296875,132
1733404614435431200,7.74243115234375,133
1733404614475400400,7.782400390625,136
1733404614635502600,7.942502685546875,137
1733404614715405600,8.022405517578125,138
1733404614755493600,8.06249365234375,139
1733404614835457300,8.142457275390624,142
1733404614875432000,8.182431884765625,145
1733404614915460600,8.222460693359375,148
1733404614955429600,8.2624296875,149
1733404615115425500,8.422425537109374,147
1733404615195449000,8.502448974609376,146
1733404615315410700,8.62241064453125,147
1733404615355402000,8.662402099609375,148
1733404615395514400,8.702514404296876,150
1733404615435460400,8.74246044921875,153
1733404615475413200,8.782413330078125,157
1733404615515468800,8.82246875,161
1733404615555439900,8.86243994140625,164
1733404615595417300,8.902417236328125,166
1733404615635510300,8.94251025390625,168
1733404615675435300,8.982435302734375,169
1733404615795459800,9.1024599609375,170
1733404615835403800,9.14240380859375,171
1733404615875402000,9.182402099609375,172
1733404615955398400,9.2623984375,173
1733404615995393500,9.3023935546875,175
1733404616035399400,9.3423994140625,177
1733404616075443200,9.382443115234375,180
1733404616115564800,9.422564697265624,183
1733404616155506700,9.462506591796876,186
1733404616195413500,9.50241357421875,188
1733404616235502000,9.542502197265625,190
1733404616275500800,9.582500732421876,191
1733404616315403000,9.622403076171874,193
1733404616355464200,9.662464111328125,195
1733404616395400700,9.702400634765626,197
1733404616555424300,9.86242431640625,196
1733404616595421200,9.902421142578126,194
1733404616635402800,9.94240283203125,192
1733404616675473400,9.982473388671876,189
1733404616715416000,10.022416015625,186
1733404616875398100,10.182398193359376,187
1733404616915429400,10.222429443359376,192
1733404616955424500,10.262424560546876,196
1733404616995565300,10.3025654296875,201
1733404617035390500,10.342390380859374,205
1733404617075423200,10.38242333984375,207
1733404617115435300,10.422435302734375,226
1733404617155431400,10.462431396484375,228
1733404617195413000,10.5024130859375,231
1733404617235408000,10.542407958984375,233
1733404617275397600,10.582397705078124,235
1733404617395518700,10.702518798828125,236
1733404617435374300,10.742374267578125,239
1733404617475398700,10.782398681640625,240
1733404617515394300,10.822394287109375,241
1733404617555403000,10.862403076171875,242
1733404617635392000,10.94239208984375,243
1733404617715388400,11.022388427734375,244
1733404617755485000,11.06248486328125,245
1733404617875438600,11.1824384765625,246
1733404617915394300,11.222394287109376,249
1733404617955425800,11.26242578125,254
1733404617995399000,11.30239892578125,262
1733404618035416300,11.342416259765624,271
1733404618075405300,11.3824052734375,277
1733404618115544800,11.422544921875,282
1733404618155387400,11.462387451171875,284
1733404618195415300,11.502415283203124,285
1733404618235488000,11.542488037109376,286
1733404618275466000,11.582466064453126,287
1733404618435411200,11.7424111328125,286
1733404618475411000,11.782410888671874,285
1733404618515445500,11.822445556640625,284
1733404618555409200,11.8624091796875,283
1733404618755402000,12.062402099609375,285
1733404618795412500,12.10241259765625,291
1733404618835419400,12.14241943359375,301
1733404618875401500,12.1824013671875,311
1733404618915424500,12.222424560546875,321
1733404618955466000,12.262466064453125,329
1733404618995433500,12.30243359375,331
1733404619035427600,12.342427490234375,333
1733404619075434000,12.38243408203125,335
1733404619115405300,12.4224052734375,336
1733404619155432400,12.462432373046875,338
1733404619195442000,12.50244189453125,340
1733404619235414300,12.542414306640625,342
1733404619355450000,12.6624501953125,341
1733404619395442400,12.7024423828125,336
1733404619435410700,12.74241064453125,321
1733404619475504000,12.782504150390626,303
1733404619515412000,12.822411865234375,289
1733404619555596500,12.862596435546875,280
1733404619675418400,12.98241845703125,284
1733404619715394600,13.02239453125,292
