time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1732873763134754000,-3.659245849609375,90.39427342162864,-1,-1,37.50356989623051,72.13619770751731,-1,25.643956877509794,30,126.95609126435082,-1
1732873766925658000,0.131658203125,90.39427342162864,-1,-1,37.50356989623051,72.13619770751731,-1,25.643956877509794,30,126.95609126435082,-1
1732873766926952000,0.132951904296875,90.39427342162864,-1,-1,37.503571605284726,72.13619770751731,-1,27.32285449948464,30,126.95609258879661,-1
1732873766976843800,0.18284375,90.39527287231223,-1,-1,37.50357160535239,72.13619770751731,-1,27.32296520835064,30.000000000042263,126.95609258888452,-1
1732873769165834000,2.371833984375,90.39428291513359,-1,-1,37.503586333841746,72.1361976642791,-1,26.266945591915213,30,126.95609792924458,-1
1732873770003437000,3.20943701171875,90.3154403239346,-1,-1,37.50359512388544,72.05742755232815,-1,22.31234989810479,30,126.95608762998779,-1
1732873771285047000,4.491047119140625,90.31595912276272,-1,-1,37.503595162114635,72.05742755232815,-1,23.579016924643113,30.000038667252834,126.95608756640118,-1
1732873771295827000,4.501826904296875,90.31595912276272,-1,-1,37.503595162114635,72.05742755232815,-1,23.57910105066111,30.000038667274566,126.95608756640115,-1
1732873775941195000,9.147195068359375,96.52808525085449,-1,-1,37.5036042447065,78.27,-1,25.972270556666743,30,126.95609392129892,-1
1732873776020356000,9.226356201171875,90.31551280318264,-1,-1,37.5036042453566,72.05742755232815,-1,25.9773158285883,30,126.95609392175376,-1
1732873776383428000,9.589427978515625,88.37059049307568,-1,-1,37.50362457690808,70.11267308890088,-1,21.7474711942655,30,126.95607066581574,-1
