time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1732873766921038000,0.1270380859375,-0.47384821863028326,-0.06410304604032846,0.23259669591416257,0.05606102054609267,-0.9703672964044625,-0.013303432547382817,0.11849543783499174
1732873766931033000,0.137033203125,-0.4733230330304267,-0.06410063899109177,0.23240076460466513,0.05389404704962571,-0.9704287128660336,-0.012207396027775097,0.11901696587851919
1732873766941028400,0.1470283203125,-0.47282140713257725,-0.0639564070013532,0.23223542210053189,0.051244208235379354,-0.9704933936652428,-0.01089726885031354,0.11936029409656429
1732873766951023400,0.1570234375,-0.47223526559897,-0.06362215233118967,0.23204914198521626,0.04812947787857603,-0.9705756058093415,-0.00939715604323199,0.11942267496458098
1732873766961018400,0.167018310546875,-0.4715832481012429,-0.06311942437028917,0.2318481050501501,0.044594117439181,-0.9706712373582246,-0.007723816048554791,0.11923725758249173
1732873766971014100,0.17701416015625,-0.4709991479645766,-0.06243612597271447,0.2316940125804538,0.040737669862000406,-0.970764851901953,-0.005926983648200053,0.11875402497326726
1732873766981009200,0.187009033203125,-0.4706342383166725,-0.06160289748289219,0.23165116399585944,0.036816532705084136,-0.9708377480933035,-0.004126126371334116,0.11797466452334221
1732873766991004200,0.197004150390625,-0.47058371539115484,-0.06067064603838161,0.23175881404932486,0.03299821468440264,-0.9708765991199212,-0.002392110884779405,0.11696515008902088
1732873767000999200,0.206999267578125,-0.4708673510672884,-0.059606220989182716,0.23202911533772647,0.029201240710605342,-0.970880629115077,-0.0006907136685037012,0.11567833792964281
1732873767010994200,0.216994140625,-0.4713393860616676,-0.05845172664166282,0.23238316270821438,0.025662846603581504,-0.9708660094962347,0.0008617814541579367,0.11414582755539232
1732873767020989200,0.2269892578125,-0.47185207581162114,-0.05727284553143505,0.23274540566841015,0.022459551953812145,-0.9708472542201062,0.0022373481144777546,0.11248489372273203
1732873767030984200,0.236984130859375,-0.4721746262741538,-0.056056706026953645,0.23300653157959847,0.01950586466437592,-0.9708519342754147,0.0034700927080648955,0.11068851805625836
1732873767040979200,0.246979248046875,-0.4722806261219591,-0.055056352953578205,0.23314099018083445,0.017097848405594324,-0.9708728197485995,0.004468462514142941,0.109205931240667
1732873767050974200,0.25697412109375,-0.4724321650257215,-0.05443312187148236,0.2332739419084309,0.015242756020551996,-0.9708720005277385,0.005275105289902838,0.10836825957292978
1732873767060969500,0.266969482421875,-0.4728188169215091,-0.054311181567306153,0.23349574007458707,0.01396718080076606,-0.9708218417578185,0.00591156337716178,0.10842593337622736
1732873767070965200,0.27696533203125,-0.4734586621255159,-0.054699091772416705,0.2338181123531652,0.013181829768966908,-0.9707192078222164,0.006426501415715392,0.10941838540418986
1732873767080960300,0.286960205078125,-0.4741674062917418,-0.05545793636214353,0.23415526207453774,0.012853841827328733,-0.970592333900527,0.006798551640094685,0.11106613442102697
1732873767090955300,0.296955322265625,-0.47490454475183247,-0.056438994238104154,0.2344855936400728,0.013151806779089987,-0.970455293260707,0.006904358392513698,0.1130214527511996
1732873767100950300,0.3069501953125,-0.47572223610006525,-0.0574604374820248,0.23483917022298822,0.013998465115831946,-0.9703109455481098,0.006741271638946241,0.1149280487753966
1732873767110945300,0.3169453125,-0.47660692312054975,-0.05836107016605366,0.23522458376385996,0.014925452651158645,-0.9701654174624814,0.006510385282485974,0.11656638868630019
1732873767120940300,0.326940185546875,-0.4775911297215242,-0.05906528264618388,0.23567119196445732,0.015496460614739263,-0.9700150536419365,0.006418292501406888,0.11788649948449831
1732873767130935300,0.336935302734375,-0.4787008167353976,-0.059606580117484036,0.23619215419338388,0.01568387711114249,-0.9698548015163099,0.006487995627405927,0.11896469461168924
1732873767140930000,0.346929931640625,-0.47969834738501826,-0.06008570259592115,0.2366629518887207,0.015759413810923713,-0.9697097027862526,0.006597115765171599,0.1199413344254032
1732873767150925000,0.356925048828125,-0.48035686924796916,-0.06057221058901174,0.23696561700106697,0.015960256360498255,-0.96960526685903,0.006633617884891168,0.12090046446816609
1732873767160920000,0.366920166015625,-0.48067310564427856,-0.0611347793556399,0.23709280443980635,0.016435629531194842,-0.9695394768659983,0.006537327421807437,0.12194709369063245
1732873767170916400,0.376916259765625,-0.4807637241249714,-0.06190893992188697,0.23711008668872505,0.016741265207346603,-0.9694858986505563,0.006573291440367176,0.1234703529819014
1732873767180911400,0.386911376953125,-0.48065232660680546,-0.06320515894537498,0.2370513598359362,0.015839542034598,-0.9694110457200869,0.00735144719601415,0.12636493239448962
1732873767190906400,0.39690625,-0.4799926789268738,-0.06508437805511202,0.2367360963252403,0.014198317350403496,-0.9693531054823081,0.008633997313507127,0.13063871905714086
1732873767200901400,0.4069013671875,-0.4788714035004676,-0.06736314940788272,0.236179050838981,0.012918731076028929,-0.9693221535048883,0.009810885981058825,0.1356430049286098
1732873767210896100,0.416896240234375,-0.47747032521245386,-0.06964726758741153,0.23546909058066653,0.0122275930163975,-0.9693243403618552,0.010673812799131766,0.14051018459645093
1732873767220891100,0.42689111328125,-0.47596307929570114,-0.0716013335932353,0.23470419543449494,0.011886596265293807,-0.9693606772541127,0.011269290894949081,0.14460840608856187
1732873767230886100,0.43688623046875,-0.47449740006933294,-0.07317994489963356,0.2339625779676393,0.01170972122599649,-0.9694170975692683,0.011688005176110725,0.14789141223965557
1732873767240881200,0.446881103515625,-0.47322677082575804,-0.07441331352390627,0.23331840251664282,0.011679708588386946,-0.9694752642374451,0.011953086694690558,0.15042817292639907
