time,seconds_elapsed,brightness
1732873767795000000,1.001,0.550000011920929
1732873768810000000,2.015999755859375,0.550000011920929
1732873769826000000,3.031999755859375,0.550000011920929
1732873770840000000,4.046,0.550000011920929
1732873771856000000,5.062,0.550000011920929
1732873772871000000,6.077,0.550000011920929
1732873773886000000,7.092000244140625,0.550000011920929
1732873774901000000,8.107,0.550000011920929
1732873775916000000,9.122,0.550000011920929
1732873776931000000,10.137,0.550000011920929
1732873777946000000,11.151999755859375,0.550000011920929
1732873778962000000,12.167999755859375,0.550000011920929
1732873779976000000,13.182,0.550000011920929
