time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1732873767795000000,1.001,0.3499999940395355,unplugged,false
1732873768810000000,2.015999755859375,0.3499999940395355,unplugged,false
1732873769826000000,3.031999755859375,0.3499999940395355,unplugged,false
1732873770840000000,4.046,0.3499999940395355,unplugged,false
1732873771855000000,5.061,0.3499999940395355,unplugged,false
1732873772870000000,6.076000244140625,0.3499999940395355,unplugged,false
1732873773885000000,7.091,0.3499999940395355,unplugged,false
1732873774900000000,8.106,0.3499999940395355,unplugged,false
1732873775916000000,9.122,0.3499999940395355,unplugged,false
1732873776931000000,10.137,0.3499999940395355,unplugged,false
1732873777946000000,11.151999755859375,0.3499999940395355,unplugged,false
1732873778962000000,12.167999755859375,0.3499999940395355,unplugged,false
1732873779976000000,13.182,0.3499999940395355,unplugged,false
