time,seconds_elapsed,z,y,x
1732873766922831400,0.128831298828125,-218.8213348388672,-350.5452575683594,180.60028076171875
1732873766932762000,0.13876220703125,-218.8203582763672,-350.5941467285156,180.44259643554688
1732873766942692400,0.1486923828125,-218.96844482421875,-350.5453796386719,180.48471069335938
1732873766952623400,0.158623291015625,-219.2436065673828,-350.53656005859375,180.32337951660156
1732873766962554000,0.16855419921875,-219.22898864746094,-350.54034423828125,180.185791015625
1732873766972486100,0.178486083984375,-219.6990509033203,-350.5220031738281,180.08592224121094
1732873766982417400,0.18841748046875,-219.44837951660156,-350.48956298828125,180.2460174560547
1732873766992348200,0.19834814453125,-219.4407958984375,-350.30810546875,180.01107788085938
1732873767002279200,0.208279052734375,-219.5094757080078,-350.2627868652344,179.8905792236328
1732873767012210200,0.218210205078125,-219.7607879638672,-350.33172607421875,179.82650756835938
1732873767022141200,0.22814111328125,-220.15713500976562,-350.3331298828125,179.7447052001953
1732873767032073200,0.2380732421875,-220.34722900390625,-350.10687255859375,179.62850952148438
1732873767042004200,0.248004150390625,-220.4918975830078,-350.185302734375,179.7488555908203
1732873767051936300,0.257936279296875,-220.63072204589844,-350.0892333984375,179.681884765625
1732873767061866200,0.2678662109375,-220.77806091308594,-350.2588195800781,179.66561889648438
1732873767071797200,0.27779736328125,-220.50746154785156,-350.2547302246094,179.6576385498047
1732873767081727200,0.287727294921875,-220.410400390625,-350.44598388671875,179.56088256835938
1732873767091658200,0.297658203125,-220.4512481689453,-350.2666015625,179.61402893066406
1732873767101589200,0.30758935546875,-220.60391235351562,-350.27618408203125,179.47439575195312
1732873767111520300,0.317520263671875,-220.45359802246094,-350.35064697265625,179.4847412109375
1732873767121452300,0.327452392578125,-220.28733825683594,-350.49884033203125,179.5035858154297
1732873767131382300,0.33738232421875,-220.63870239257812,-350.3961181640625,179.543701171875
1732873767141313300,0.347313232421875,-220.36204528808594,-350.365966796875,179.578125
1732873767151245300,0.357245361328125,-220.20407104492188,-350.57342529296875,179.56158447265625
1732873767161176300,0.36717626953125,-220.2720184326172,-350.666259765625,179.6961669921875
1732873767171107300,0.377107421875,-220.24607849121094,-350.4622497558594,179.61093139648438
1732873767181038000,0.3870380859375,-220.2365264892578,-350.5162353515625,179.5877685546875
1732873767190970000,0.39697021484375,-220.58680725097656,-350.60406494140625,179.4650115966797
1732873767200900400,0.406900390625,-220.6413116455078,-350.803466796875,179.68992614746094
1732873767210832400,0.416832275390625,-220.34007263183594,-351.0536193847656,179.3642578125
1732873767220762400,0.426762451171875,-220.60899353027344,-351.0942077636719,179.46414184570312
1732873767230693400,0.436693359375,-220.6536407470703,-351.163818359375,179.32704162597656
1732873767240624000,0.4466240234375,-220.5667724609375,-351.2535400390625,179.40890502929688
1732873767250556200,0.45655615234375,-220.00843811035156,-351.39501953125,179.40699768066406
1732873767260486400,0.466486328125,-220.39569091796875,-351.45721435546875,179.45858764648438
1732873767270416400,0.47641650390625,-220.5277099609375,-351.41888427734375,179.55050659179688
1732873767280345000,0.486344970703125,-220.36448669433594,-351.539306640625,179.52243041992188
1732873767290274000,0.496274169921875,-220.56129455566406,-351.38580322265625,179.34307861328125
1732873767300203300,0.506203369140625,-220.52899169921875,-351.4117126464844,179.53648376464844
1732873767310133200,0.51613330078125,-220.5375213623047,-351.5152587890625,179.41629028320312
1732873767320062200,0.526062255859375,-220.3159637451172,-351.63555908203125,179.4654083251953
1732873767329992200,0.5359921875,-220.45082092285156,-351.472412109375,179.40408325195312
1732873767339921200,0.545921142578125,-220.36541748046875,-351.56488037109375,179.57638549804688
1732873767349850000,0.55585009765625,-220.48052978515625,-351.7186279296875,179.44448852539062
1732873767359779300,0.565779296875,-220.5682373046875,-351.6993408203125,179.45455932617188
1732873767369711000,0.575711181640625,-220.4917755126953,-351.66595458984375,179.5165557861328
1732873767379642400,0.585642333984375,-220.2607421875,-351.635986328125,179.4503631591797
1732873767389574400,0.595574462890625,-220.42913818359375,-351.76861572265625,179.51272583007812
1732873767399505200,0.605505126953125,-220.59457397460938,-351.54443359375,179.45578002929688
1732873767409436200,0.615436279296875,-220.5548095703125,-351.56353759765625,179.53900146484375
1732873767419368200,0.6253681640625,-220.6454315185547,-351.8201904296875,179.3480682373047
1732873767429299500,0.635299560546875,-220.39462280273438,-351.57562255859375,179.46290588378906
1732873767439230200,0.645230224609375,-220.5034942626953,-351.6109619140625,179.43421936035156
1732873767449162200,0.655162353515625,-220.86927795410156,-351.58270263671875,179.48898315429688
1732873767459092200,0.66509228515625,-220.8201446533203,-351.8197326660156,179.3409423828125
1732873767469023200,0.675023193359375,-220.6099395751953,-351.69140625,179.37429809570312
1732873767478955300,0.684955322265625,-220.32492065429688,-351.6317443847656,179.34375
1732873767488886300,0.69488623046875,-220.6984100341797,-351.61578369140625,179.4545440673828
1732873767498818000,0.704818115234375,-220.3984375,-351.71746826171875,179.4487762451172
1732873767508749300,0.714749267578125,-220.64520263671875,-351.64501953125,179.3770294189453
1732873767518681300,0.724681396484375,-220.52439880371094,-351.6463928222656,179.34104919433594
1732873767528612000,0.734612060546875,-220.82847595214844,-351.4951171875,179.5238037109375
1732873767538543000,0.744543212890625,-220.42027282714844,-351.49127197265625,179.30368041992188
1732873767548475400,0.754475341796875,-220.28704833984375,-351.6830139160156,179.2481689453125
1732873767558405000,0.764405029296875,-220.51409912109375,-351.82879638671875,179.32818603515625
1732873767568337200,0.774337158203125,-220.23727416992188,-351.752685546875,179.44981384277344
1732873767578269200,0.784269287109375,-220.30401611328125,-351.6416015625,179.4501495361328
