time,seconds_elapsed,relativeAltitude,pressure
1732873766380300500,-0.413699462890625,0,1004.0190887451172
1732873767410997500,0.61699755859375,-0.02114105224609375,1004.0216827392578
1732873768441660700,1.64766064453125,-0.0422821044921875,1004.0242767333984
1732873769472283600,2.67828369140625,-0.0422821044921875,1004.0242767333984
1732873770502880500,3.708880615234375,-0.05284881591796875,1004.0255737304688
1732873770698027500,3.904027587890625,-0.05284881591796875,1004.0255737304688
1732873771761888800,4.967888671875,-0.02378082275390625,1004.022216796875
1732873772825754600,6.031754638671875,0.01320648193359375,1004.0174865722656
1732873773889644500,7.09564453125,0.07134246826171875,1004.0107727050781
1732873774953443600,8.159443603515625,0.1294708251953125,1004.0036773681641
1732873776017276400,9.2232763671875,0.19024658203125,1003.9966583251953
1732873777081200600,10.28720068359375,0.2245941162109375,1003.9924621582031
