time,seconds_elapsed,temperature
1733231737010000000,1.002999755859375,21.1
1733231738011000000,2.004,21.1
1733231739014000000,3.007000244140625,21.1
1733231740015000000,4.008,21.1
1733231741015000000,5.008,21.1
1733231742014000000,6.007000244140625,21.1
