time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1733461393838000000,1.006000244140625,0.7200000286102295,unplugged,false
1733461394838000000,2.006000244140625,0.7200000286102295,unplugged,false
1733461395839000000,3.007,0.7200000286102295,unplugged,false
1733461396843000000,4.011,0.7200000286102295,unplugged,false
1733461397842000000,5.009999755859375,0.7200000286102295,unplugged,false
1733461398842000000,6.009999755859375,0.7200000286102295,unplugged,false
1733461399843000000,7.011,0.7200000286102295,unplugged,false
1733461400843000000,8.011,0.7200000286102295,unplugged,false
1733461401843000000,9.011,0.7200000286102295,unplugged,false
1733461402843000000,10.011,0.7200000286102295,unplugged,false
1733461403843000000,11.011,0.7200000286102295,unplugged,false
1733461404843000000,12.011,0.7200000286102295,unplugged,false
1733461405843000000,13.011,0.7200000286102295,unplugged,false
1733461406844000000,14.012,0.7200000286102295,unplugged,false
1733461407844000000,15.012,0.7200000286102295,unplugged,false
1733461408844000000,16.012,0.7200000286102295,unplugged,false
1733461409845000000,17.013,0.7200000286102295,unplugged,false
1733461410845000000,18.013,0.7200000286102295,unplugged,false
1733461411848000000,19.016,0.7200000286102295,unplugged,false
1733461412849000000,20.017,0.7200000286102295,unplugged,false
1733461413849000000,21.017,0.7200000286102295,unplugged,false
1733461414849000000,22.017,0.7200000286102295,unplugged,false
1733461415850000000,23.017999755859375,0.7200000286102295,unplugged,false
