time,seconds_elapsed,brightness
1733461393841000000,1.009,0.5
1733461394840000000,2.008,0.5
1733461395842000000,3.009999755859375,0.5
1733461396847000000,4.015,0.5
1733461397844000000,5.012,0.5
1733461398845000000,6.013,0.5
1733461399847000000,7.015,0.5
1733461400847000000,8.015,0.5
1733461401847000000,9.015,0.5
1733461402847000000,10.015,0.5
1733461403849000000,11.017,0.5
1733461404849000000,12.017,0.5
1733461405848000000,13.016,0.5
1733461406850000000,14.017999755859375,0.5
1733461407852000000,15.02,0.5
1733461408854000000,16.022000244140624,0.5
1733461409852000000,17.02,0.5
1733461410852000000,18.02,0.5
1733461411850000000,19.017999755859375,0.5
1733461412852000000,20.02,0.5
1733461413853000000,21.021,0.5
1733461414852000000,22.02,0.5
1733461415853000000,23.021,0.5
