time,seconds_elapsed,steps
1733461393124423700,0.292423583984375,0
1733461397044487700,4.21248779296875,6
1733461397684474600,4.852474609375,7
1733461398164538400,5.332538330078125,8
1733461398644497400,5.812497314453125,9
1733461399204464600,6.372464599609375,10
1733461399444483600,6.612483642578125,11
1733461399844499200,7.012499267578125,12
1733461400484592000,7.652592041015625,13
1733461400964460800,8.132460693359375,14
1733461401604455000,8.772454833984375,15
1733461402164462300,9.33246240234375,16
1733461402644544800,9.812544677734374,17
1733461403204490500,10.372490478515624,18
1733461403844494000,11.012494140625,19
1733461404324498200,11.492498291015625,20
1733461404884451300,12.052451416015625,21
1733461405204647200,12.372647216796874,22
1733461405604467700,12.7724677734375,23
1733461406324442000,13.492442138671874,24
1733461406884470800,14.052470703125,25
1733461407444450600,14.612450439453125,26
1733461408004586500,15.17258642578125,27
1733461408484934700,15.6529345703125,28
1733461409044930000,16.212929931640623,29
1733461409604934700,16.7729345703125,30
1733461410164900000,17.332900146484373,31
1733461410724994800,17.892994873046874,32
1733461411765029600,18.933029541015625,33
1733461412405016300,19.573016357421874,34
1733461412884890600,20.052890625,35
1733461413444958200,20.612958251953124,36
1733461414004969200,21.17296923828125,37
1733461414884893700,22.052893798828126,38
1733461415364915000,22.5329150390625,39
