time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1732873389265771500,0.223771484375,0.10476812720298767,0.01824936270713806,0.05744194611907005,0.9926686882972717,0.024367215111851692,-0.11814016848802567,-0.20886410772800446
1732873389275524900,0.23352490234375,0.8482123017311096,0.05624828115105629,0.021667644381523132,0.5262154340744019,0.022600309923291206,-0.11850181967020035,-2.0297091007232666
1732873389285504300,0.243504150390625,0.8930734992027283,0.05844815447926521,0.017472879961133003,0.44575583934783936,0.02105167880654335,-0.12026397138834,-2.2144296169281006
1732873389295513900,0.253513916015625,0.9201102256774902,0.060799673199653625,0.014203909784555435,0.38665083050727844,0.021039115265011787,-0.12317997962236404,-2.3446614742279053
1732873389305493200,0.2634931640625,0.9355178475379944,0.0632748007774353,0.011064642108976841,0.3473905324935913,0.023449037224054337,-0.12641334533691406,-2.4290010929107666
1732873389315503000,0.273503173828125,0.9399604797363281,0.06574937701225281,0.009220793843269348,0.3347630202770233,0.026917414739727974,-0.13014426827430725,-2.455559730529785
1732873389325512700,0.2835126953125,0.943021833896637,0.06782828271389008,0.00774748669937253,0.3256521224975586,0.029834073036909103,-0.1333680897951126,-2.4745864868164062
1732873389335491800,0.293491943359375,0.9420329928398132,0.06928765028715134,0.007547655142843723,0.3282015919685364,0.031556565314531326,-0.1359148770570755,-2.4689524173736572
1732873389345501700,0.303501708984375,0.9486867785453796,0.07054091989994049,0.005986205767840147,0.3081906735897064,0.03243590146303177,-0.13796956837177277,-2.5111401081085205
1732873389355511300,0.31351123046875,0.9476026296615601,0.07131099700927734,0.0064053344540297985,0.31132474541664124,0.03258499503135681,-0.13959014415740967,-2.504455089569092
1732873389365490700,0.32349072265625,0.9511063694953918,0.07177919149398804,0.00585410138592124,0.30035024881362915,0.03230603411793709,-0.14051781594753265,-2.527559518814087
1732873389375500500,0.33350048828125,0.9516036510467529,0.07163721323013306,0.005790184251964092,0.29880639910697937,0.03211221471428871,-0.14026018977165222,-2.530829668045044
1732873389385510100,0.34351025390625,0.9499507546424866,0.07188911736011505,0.006270412355661392,0.30395087599754333,0.032111864537000656,-0.14085938036441803,-2.5199849605560303
1732873389395489500,0.353489501953125,0.9504136443138123,0.0715927928686142,0.006138879805803299,0.30257347226142883,0.03197460621595383,-0.14025989174842834,-2.5229177474975586
1732873389405499400,0.36349951171875,0.9487902522087097,0.06988810002803802,0.007811953779309988,0.3079802393913269,0.028498727828264236,-0.13786646723747253,-2.5118792057037354
1732873389415509000,0.373509033203125,0.9513827562332153,0.06803996860980988,0.008588185533881187,0.3002794086933136,0.024748485535383224,-0.1350317895412445,-2.5284619331359863
1732873389425518800,0.383518798828125,0.9508955478668213,0.06606532633304596,0.00983387604355812,0.3022189736366272,0.021418273448944092,-0.1319691389799118,-2.524718761444092
1732873389435498000,0.393498046875,0.9521466493606567,0.06485800445079803,0.010057971812784672,0.2985112965106964,0.01973585970699787,-0.12987832725048065,-2.5326924324035645
1732873389445507600,0.403507568359375,0.9545966386795044,0.0646507665514946,0.009528432041406631,0.2906454801559448,0.01955382712185383,-0.1293298453092575,-2.549222230911255
1732873389455517400,0.413517333984375,0.9523385167121887,0.0644746646285057,0.008638343773782253,0.2980267107486725,0.02216104418039322,-0.12830404937267303,-2.5335941314697266
1732873389465496800,0.423496826171875,0.9530217051506042,0.0650922954082489,0.006927249021828175,0.2957444489002228,0.025510871782898903,-0.12851962447166443,-2.5381505489349365
1732873389475506400,0.43350634765625,0.955117404460907,0.06556384265422821,0.0052939653396606445,0.2888323962688446,0.027996212244033813,-0.1286551058292389,-2.5524654388427734
1732873389485516300,0.443516357421875,0.9528013467788696,0.0651831403374672,0.005881909281015396,0.29645583033561707,0.027669299393892288,-0.12805026769638062,-2.5365254878997803
1732873389495495700,0.45349560546875,0.9544306993484497,0.06496869772672653,0.005633775610476732,0.29122060537338257,0.027311913669109344,-0.1276439130306244,-2.5475432872772217
1732873389505505500,0.463505615234375,0.9562159776687622,0.06438405811786652,0.006568753160536289,0.2854166030883789,0.024389779195189476,-0.1272227168083191,-2.559905529022217
1732873389515515100,0.47351513671875,0.9496155977249146,0.06431861966848373,0.008660659193992615,0.3066242039203644,0.023185890167951584,-0.12781479954719543,-2.515458822250366
1732873389525494300,0.483494384765625,0.9519580006599426,0.06512605398893356,0.00837565679103136,0.29910603165626526,0.02320864237844944,-0.1293654888868332,-2.531221866607666
1732873389535504100,0.493504150390625,0.9523131251335144,0.06566069275140762,0.00838693231344223,0.29785606265068054,0.023341242223978043,-0.13042473793029785,-2.5338046550750732
1732873389545513700,0.503513671875,0.9566066265106201,0.0660531297326088,0.006951542571187019,0.2837122082710266,0.024390770122408867,-0.13068990409374237,-2.5633606910705566
1732873389555493000,0.5134931640625,0.9527000188827515,0.06599901616573334,0.006995737552642822,0.2965770661830902,0.026041490957140923,-0.1302722543478012,-2.536308526992798
1732873389565503000,0.5235029296875,0.9533505439758301,0.06574343889951706,0.006759535986930132,0.29454177618026733,0.026061782613396645,-0.12969833612442017,-2.5405972003936768
1732873389575512600,0.5335126953125,0.9535166621208191,0.06538073718547821,0.006631987169384956,0.29408755898475647,0.026026874780654907,-0.12894099950790405,-2.5415778160095215
1732873389585492000,0.543491943359375,0.9536694288253784,0.06503235548734665,0.006496107205748558,0.29367193579673767,0.02602255716919899,-0.1282051056623459,-2.542473793029785
1732873389595501800,0.553501708984375,0.9538030028343201,0.06472744047641754,0.006364845670759678,0.2933082580566406,0.026043059304356575,-0.1275537759065628,-2.5432562828063965
