time,seconds_elapsed,temperature
1732873390047000000,1.005,18.3
1732873391052000000,2.01,18.3
1732873392050000000,3.007999755859375,18.3
1732873393052000000,4.01,18.3
1732873394051000000,5.009,18.3
1732873395050000000,6.007999755859375,18.3
1732873396052000000,7.01,18.3
1732873397052000000,8.01,18.3
1732873398055000000,9.013,18.3
1732873399054000000,10.012000244140625,18.3
1732873400054000000,11.012000244140625,18.3
1732873401057000000,12.015,18.3
1732873402056000000,13.014,18.3
1732873403056000000,14.014,18.3
1732873404060000000,15.018,18.3
1732873405061000000,16.019,18.3
1732873406062000000,17.020000244140626,18.3
1732873407062000000,18.020000244140626,18.3
1732873408060000000,19.018,18.3
1732873409061000000,20.019,18.8
1732873410060000000,21.018,18.8
1732873411062000000,22.020000244140626,18.8
1732873412063000000,23.021,18.8
1732873413063000000,24.021,18.8
1732873414063000000,25.021,18.8
1732873415064000000,26.022,18.8
