time,seconds_elapsed,brightness
1732873390047000000,1.005,0.5
1732873391053000000,2.011,0.5
1732873392050000000,3.007999755859375,0.5
1732873393053000000,4.011,0.5
1732873394052000000,5.01,0.5
1732873395051000000,6.009,0.5
1732873396053000000,7.011,0.5
1732873397053000000,8.011,0.5
1732873398055000000,9.013,0.5
1732873399055000000,10.013,0.5
1732873400055000000,11.013,0.5
1732873401058000000,12.015999755859376,0.5
1732873402057000000,13.015,0.5
1732873403059000000,14.017,0.5
1732873404061000000,15.019,0.5
1732873405061000000,16.019,0.5
1732873406062000000,17.020000244140626,0.5
1732873407063000000,18.021,0.5
1732873408061000000,19.019,0.5
1732873409062000000,20.020000244140626,0.5
1732873410061000000,21.019,0.5
1732873411063000000,22.021,0.5
1732873412064000000,23.022,0.5
1732873413063000000,24.021,0.5
1732873414064000000,25.022,0.5
1732873415065000000,26.023,0.5
