time,seconds_elapsed,relativeAltitude,pressure
1732873795171341000,-0.427658935546875,0,1004.0223693847656
1732873796202036000,0.603035888671875,-0.00792694091796875,1004.0233612060547
1732873797232735000,1.63373486328125,-0.0158538818359375,1004.0243530273438
1732873798263406800,2.66440673828125,-0.04491424560546875,1004.0277862548828
1732873799294048800,3.695048828125,-0.04491424560546875,1004.0277862548828
1732873799489184800,3.890184814453125,-0.0158538818359375,1004.0242767333984
1732873800553096000,4.954095947265625,-0.0158538818359375,1004.0242767333984
1732873801616960800,6.017960693359375,-0.005279541015625,1004.0229797363281
1732873802680884000,7.081884033203125,0.0158538818359375,1004.0205383300781
1732873803744769800,8.145769775390624,0.0158538818359375,1004.0205383300781
1732873804808669700,9.209669677734375,0.00792694091796875,1004.0213775634766
1732873805872619000,10.273618896484376,-0.00792694091796875,1004.0232849121094
