time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1732873795721051400,0.122051513671875,-0.14783118700666117,-0.08877519224199365,0.07364326021363082,-0.001995574606087125,-0.9932966438321782,0.007570388639915985,0.17842034512556101
1732873795731046400,0.13204638671875,-0.14765906610359653,-0.08869529221317125,0.07360964362805417,-0.0031602288221322596,-0.9933018716930099,0.008138390045742086,0.1783444511332168
1732873795741041400,0.14204150390625,-0.14736413150051444,-0.0887211437507921,0.07350393467991413,-0.004085683510351105,-0.993303535514542,0.008589262144284711,0.17846253852456662
1732873795751036400,0.152036376953125,-0.1469174262695068,-0.08882994959713789,0.07330458292758095,-0.0046053830765973545,-0.9933064446433045,0.008836799972922462,0.1787161095497126
1732873795761032700,0.16203271484375,-0.14632360217953366,-0.08900668657985118,0.07301138584407717,-0.004661054273565408,-0.993312018101059,0.008850949367348059,0.17907075364993139
1732873795771027500,0.17202734375,-0.1456389866679526,-0.08924429939181314,0.07265812612903409,-0.004385825199091178,-0.9933180306483266,0.008700120862200289,0.1795229519882697
1732873795781022500,0.1820224609375,-0.1449357539713697,-0.0895023231105692,0.07229086702045061,-0.004007285993192296,-0.9933233525237912,0.008498203159990107,0.1800087481699677
1732873795791017500,0.192017578125,-0.1442728611310656,-0.08975775763381563,0.07194587613090506,-0.0036804773776456887,-0.9933267935443518,0.008323585790303,0.18049369115411062
1732873795801012500,0.202012451171875,-0.14368974248808794,-0.08998029887790868,0.07164708684958111,-0.0034987395425686504,-0.9933290525427956,0.00822249095451593,0.1809237526302648
1732873795811008500,0.212008544921875,-0.1432127638050935,-0.0901302954550849,0.0714102696574328,-0.003516386401958145,-0.9933325791517429,0.008220435251329112,0.1812230860205827
1732873795821003500,0.22200341796875,-0.14285816740137883,-0.0901855705400004,0.07124191310528416,-0.003694736837946287,-0.993338962294999,0.008297332837291574,0.18134422425863622
1732873795830998500,0.23199853515625,-0.1426014903821699,-0.0901370452287879,0.07112457526589457,-0.003915604076418484,-0.9933510044454924,0.008392483676154826,0.1812602017738413
1732873795840993300,0.2419931640625,-0.14236071117480156,-0.09001406925503148,0.0710139615687644,-0.004103253024188834,-0.9933694401785044,0.008466490193752597,0.18102399375645728
1732873795850988300,0.25198828125,-0.14210768685161432,-0.08984363449698202,0.07089358169151955,-0.004204682949225567,-0.9933932594201236,0.00849356244869072,0.18068595113245683
1732873795860984600,0.261984619140625,-0.14186730648545717,-0.08966121011222924,0.07077386224103459,-0.004179653641656801,-0.9934185657803681,0.008457270151631361,0.18031485114171672
1732873795870979600,0.2719794921875,-0.14167278260951263,-0.0895084839040815,0.0706736202820942,-0.004083606659746136,-0.9934400362874493,0.008389735109949052,0.17999889766691907
1732873795880974600,0.281974609375,-0.1414851180679414,-0.08939751195815829,0.07057754388581094,-0.004008473512314392,-0.9934572917939681,0.008335929777546635,0.17976857148179157
1732873795890969600,0.291969482421875,-0.14129046127382558,-0.08935282007768225,0.07047895115620874,-0.0039612155237277675,-0.9934685485502397,0.00830042585532574,0.17967360634838678
1732873795900964600,0.301964599609375,-0.14114829972185564,-0.08937538015848467,0.07040628758940323,-0.003917484992485999,-0.9934719360512387,0.008273792035506166,0.1797147430410052
1732873795910960400,0.31196044921875,-0.14107362098424944,-0.08944363889306917,0.07036665805510074,-0.0038673466498757737,-0.9934687934675668,0.008250213969784398,0.17984798056912965
1732873795920955400,0.321955322265625,-0.14099989021307696,-0.08954364223831932,0.070328739209493,-0.0038482237136074726,-0.9934624989310438,0.00824439352818939,0.18004732819120448
1732873795930950400,0.331950439453125,-0.14085129732215207,-0.08962261005770784,0.07025498898903296,-0.003857432696041555,-0.9934605975240595,0.00824785113243204,0.18020572294735696
1732873795940945400,0.3419453125,-0.14063774946376936,-0.08966374237546831,0.0701464125100489,-0.0038054871919712525,-0.9934648446664552,0.008215178586806593,0.18028308983240163
1732873795950941400,0.35194140625,-0.1403742600925316,-0.08965051210253,0.07000732368224821,-0.0036203874413824034,-0.9934767169366772,0.008109961547252442,0.18024123553802116
1732873795960936400,0.3619365234375,-0.14007396418454987,-0.08958750951499403,0.06984149035844599,-0.0032405940165123157,-0.993495796105651,0.007902415568965489,0.1800852659428219
1732873795970931500,0.371931396484375,-0.13974438859764438,-0.0895032678288773,0.06965424042578176,-0.002703663774506916,-0.9935187387703314,0.0076136479764123055,0.17987540829318502
1732873795980926500,0.381926513671875,-0.1393975801951214,-0.0894256133817166,0.06945491874382441,-0.002087855977335428,-0.9935422182159837,0.007285217264161128,0.1796733922576342
1732873795990921500,0.39192138671875,-0.1390446923727395,-0.08938182095464198,0.06925196090843083,-0.001461157410986632,-0.9935626602188947,0.006953463399213373,0.17953895841259426
1732873796000917500,0.40191748046875,-0.13868962921313063,-0.08938176090728857,0.06905109317343572,-0.0009109162743720962,-0.9935786630060591,0.0066628330186161745,0.17949811327109036
1732873796010912500,0.41191259765625,-0.1383409592236118,-0.08941419621415228,0.06885803522894406,-0.0004690484019402991,-0.9935906211939188,0.006428845617468051,0.17953042863164592
1732873796020907500,0.421907470703125,-0.13803652882716277,-0.08947938157448725,0.06868965862970494,-0.00009286299678668056,-0.9935976599847347,0.006231891240331013,0.17963366115892454
1732873796030902300,0.43190234375,-0.1377918970627431,-0.08955156144490718,0.06855359091713813,0.00022339492737905302,-0.9936015805575426,0.00606800904803669,0.17975559687278442
1732873796040897300,0.441897216796875,-0.13758189238453217,-0.08962106976504287,0.06843444609996303,0.000545864460825444,-0.9936045114230122,0.005902388031828044,0.1798720120123762
