time,seconds_elapsed,z,y,x
1732873795710941400,0.11194140625,-220.95846557617188,-351.21282958984375,179.52220153808594
1732873795720872400,0.12187255859375,-221.0228729248047,-351.074462890625,179.5802459716797
1732873795730803500,0.131803466796875,-221.0374298095703,-351.33673095703125,179.61767578125
1732873795740735500,0.141735595703125,-221.0837860107422,-351.18096923828125,179.47674560546875
1732873795750666500,0.15166650390625,-220.83639526367188,-351.22381591796875,179.57688903808594
1732873795760598500,0.1615986328125,-221.15492248535156,-351.233154296875,179.37474060058594
1732873795770530600,0.171530517578125,-221.23391723632812,-351.3324279785156,179.42198181152344
1732873795780461600,0.181461669921875,-221.3035430908203,-351.25018310546875,179.62939453125
1732873795790392300,0.191392333984375,-221.3961639404297,-351.3731689453125,179.5453338623047
1732873795800324400,0.201324462890625,-221.55392456054688,-351.56298828125,179.52484130859375
1732873795810255600,0.211255615234375,-221.05093383789062,-351.475830078125,179.4062042236328
1732873795820186400,0.221186279296875,-221.25042724609375,-351.6214599609375,179.28311157226562
1732873795830116600,0.23111669921875,-221.3677978515625,-351.62957763671875,179.48587036132812
1732873795840046300,0.24104638671875,-220.93666076660156,-351.60400390625,179.39364624023438
1732873795849977600,0.2509775390625,-221.11521911621094,-351.600341796875,179.66343688964844
1732873795859908600,0.26090869140625,-221.24398803710938,-351.52581787109375,179.61167907714844
1732873795869838600,0.270838623046875,-221.3218994140625,-351.3270263671875,179.55699157714844
1732873795879769600,0.28076953125,-221.28054809570312,-351.63232421875,179.4470672607422
1732873795889700400,0.290700439453125,-221.14768981933594,-351.41156005859375,179.4882354736328
1732873795899631600,0.300631591796875,-221.2842559814453,-351.52685546875,179.33489990234375
1732873795909561300,0.310561279296875,-221.28115844726562,-351.4542236328125,179.365234375
1732873795919491600,0.32049169921875,-221.0620574951172,-351.5588073730469,179.7349090576172
1732873795929422300,0.33042236328125,-221.05116271972656,-351.6015319824219,179.69117736816406
1732873795939353300,0.340353271484375,-221.09226989746094,-351.4815673828125,179.65731811523438
1732873795949284600,0.35028466796875,-220.8785858154297,-351.5829162597656,179.6561279296875
1732873795959215400,0.36021533203125,-220.959228515625,-351.6630859375,179.54855346679688
