time,seconds_elapsed,temperature
1733461487570000000,1.008999755859375,19.5
1733461488570000000,2.008999755859375,19.5
1733461489570000000,3.008999755859375,19.5
1733461490571000000,4.01,19.5
1733461491569000000,5.008,19.5
1733461492570000000,6.008999755859375,19.5
1733461493569000000,7.008,19.5
1733461494571000000,8.01,19.5
1733461495571000000,9.01,19.5
1733461496572000000,10.011,19.5
1733461497571000000,11.01,19.5
1733461498572000000,12.011,19.5
1733461499571000000,13.01,19.5
1733461500573000000,14.012,19.5
1733461501573000000,15.012,19.5
1733461502574000000,16.013000244140624,19.5
1733461503574000000,17.013000244140624,19.5
1733461504574000000,18.013000244140624,19.5
1733461505576000000,19.015,19.5
1733461506578000000,20.016999755859374,19.5
1733461507578000000,21.016999755859374,19.5
1733461508578000000,22.016999755859374,19.5
