time,seconds_elapsed,steps
1733461486833112600,0.272112548828125,0
1733461491633016600,5.0720166015625,6
1733461492272977400,5.711977294921875,7
1733461492833059300,6.272059326171875,8
1733461493313033700,6.75203369140625,9
1733461493873048600,7.312048583984375,10
1733461494433134600,7.872134521484375,11
1733461494913023500,8.3520234375,12
1733461495393098000,8.832097900390625,13
1733461495953187600,9.3921875,14
1733461496433029000,9.872029052734375,15
1733461496992586200,10.431586181640625,16
1733461497632685000,11.07168505859375,17
1733461498112621600,11.55162158203125,18
1733461498752602600,12.1916025390625,19
1733461499072614400,12.511614501953124,20
1733461499712623000,13.151623046875,21
1733461500192641300,13.631641357421875,22
1733461500752597200,14.19159716796875,23
1733461501232774000,14.67177392578125,24
1733461502032606700,15.471606689453125,25
1733461502592718300,16.03171826171875,26
1733461503152595700,16.591595703125,27
1733461503712679200,17.15167919921875,28
1733461504272606200,17.711606201171875,29
1733461504832650000,18.27164990234375,30
1733461505312597800,18.75159765625,31
1733461505872606700,19.311606689453125,32
1733461506352596700,19.7915966796875,33
1733461506832601000,20.27160107421875,34
1733461507392619300,20.831619384765624,35
1733461507952575200,21.3915751953125,36
1733461508512670700,21.951670654296876,37
