time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1733461486762557700,0.2015576171875,0.10514716804027557,0.018766287714242935,0.06603893637657166,0.9920840859413147,0.023565681651234627,-0.13539206981658936,-0.20958609879016876
1733461486772353000,0.21135302734375,0.930156409740448,0.0684531182050705,0.012532027438282967,0.3605082035064697,0.026290977373719215,-0.13680635392665863,-2.400286912918091
1733461486782332400,0.22133251953125,0.9526922106742859,0.07048901170492172,0.006417023483663797,0.2955804169178009,0.029732687398791313,-0.138544961810112,-2.5378475189208984
1733461486792342000,0.231342041015625,0.9604344367980957,0.07107605040073395,0.003474003169685602,0.26926189661026,0.031915538012981415,-0.13884428143501282,-2.5926990509033203
1733461486802321400,0.2413212890625,0.9600472450256348,0.07043430209159851,0.0036627992521971464,0.27080413699150085,0.031417205929756165,-0.13765867054462433,-2.5895652770996094
1733461486812331000,0.2513310546875,0.9609665870666504,0.06908024102449417,0.004746407736092806,0.267859548330307,0.028147876262664795,-0.1357266753911972,-2.5960001945495605
1733461486822340900,0.2613408203125,0.9657100439071655,0.06805207580327988,0.0045639267191290855,0.2505037188529968,0.0255116056650877,-0.1341255009174347,-2.632270097732544
1733461486832350700,0.271350830078125,0.9676504135131836,0.06715244054794312,0.005136065650731325,0.2431398332118988,0.02291897125542164,-0.13284817337989807,-2.647724151611328
1733461486842329900,0.281329833984375,0.9705862998962402,0.06629490107297897,0.005533167626708746,0.2313801646232605,0.020113155245780945,-0.13163015246391296,-2.6722187995910645
1733461486852339500,0.29133935546875,0.9651935696601868,0.0655699297785759,0.008063089102506638,0.2530554533004761,0.0177740640938282,-0.13103079795837402,-2.6276066303253174
1733461486862349300,0.301349365234375,0.9732012748718262,0.06538335978984833,0.00644020177423954,0.2203698605298996,0.016422126442193985,-0.1304706335067749,-2.6951541900634766
1733461486872328700,0.31132861328125,0.9708636999130249,0.06509348750114441,0.007718595210462809,0.23049290478229523,0.015148798003792763,-0.13032053411006927,-2.67441463470459
1733461486882338300,0.32133837890625,0.9643756151199341,0.0649651363492012,0.009557612240314484,0.25625738501548767,0.01498948410153389,-0.1305706948041916,-2.621169090270996
1733461486892348200,0.33134814453125,0.97170490026474,0.06579023599624634,0.0066877445206046104,0.22675253450870514,0.016986120492219925,-0.13126696646213531,-2.6819705963134766
1733461486902327600,0.34132763671875,0.9730501770973206,0.0667581856250763,0.0052101206965744495,0.22065728902816772,0.0194943118840456,-0.13260573148727417,-2.6943037509918213
1733461486912337200,0.351337158203125,0.9696704745292664,0.06762668490409851,0.005012171808630228,0.23482073843479156,0.022240903228521347,-0.13390493392944336,-2.6649181842803955
1733461486922347000,0.361346923828125,0.9743381142616272,0.06852560490369797,0.0025978870689868927,0.2143893837928772,0.024545853957533836,-0.13505835831165314,-2.70676326751709
1733461486932326100,0.371326171875,0.9736954569816589,0.06901726126670837,0.002080823527649045,0.21713919937610626,0.02616409957408905,-0.1357235461473465,-2.700984239578247
1733461486942335700,0.381335693359375,0.9748331308364868,0.06943926215171814,0.0012155472068116069,0.2118426114320755,0.02730717323720455,-0.13632021844387054,-2.711759090423584
1733461486952345600,0.391345703125,0.9699910879135132,0.06942719221115112,0.0028747636824846268,0.23300018906593323,0.027030616998672485,-0.13645018637180328,-2.6682612895965576
1733461486962325000,0.401324951171875,0.9719451665878296,0.06879225373268127,0.0020648324862122536,0.22491340339183807,0.027181658893823624,-0.13506369292736053,-2.684948444366455
1733461486972334600,0.41133447265625,0.9708197712898254,0.06882792711257935,0.0020594685338437557,0.22971183061599731,0.027879659086465836,-0.13499483466148376,-2.6750216484069824
1733461486982344400,0.421344482421875,0.9765354990959167,0.06895846873521805,-0.0004107310378458351,0.2040172666311264,0.02920919843018055,-0.13492217659950256,-2.7277050018310547
1733461486992323800,0.43132373046875,0.9733899831771851,0.06896670162677765,0.0007038625772111118,0.21852931380271912,0.029040422290563583,-0.13498014211654663,-2.697946310043335
1733461487002333400,0.44133349609375,0.9750310182571411,0.06893619149923325,-0.0006137723103165627,0.21109724044799805,0.030582617968320847,-0.13457657396793365,-2.713106870651245
1733461487012343300,0.45134326171875,0.9752119183540344,0.06894607841968536,-0.0011352899018675089,0.21025454998016357,0.031495947390794754,-0.13440093398094177,-2.714775800704956
1733461487022322400,0.461322509765625,0.9715540409088135,0.06894537061452866,-0.000557500112336129,0.22655895352363586,0.032622355967760086,-0.13411739468574524,-2.6812052726745605
1733461487032332000,0.47133203125,0.9708247780799866,0.06956000626087189,-0.0014000963419675827,0.22947505116462708,0.03496747091412544,-0.13482670485973358,-2.6750094890594482
1733461487042342000,0.481341796875,0.9708040952682495,0.07046503573656082,-0.002285368973389268,0.2292790561914444,0.03710157051682472,-0.13618811964988708,-2.675212860107422
1733461487052321300,0.4913212890625,0.9715133309364319,0.07140634208917618,-0.0028017284348607063,0.2259538620710373,0.03808364272117615,-0.13791508972644806,-2.6819286346435547
1733461487062331100,0.5013310546875,0.9752159714698792,0.0714603140950203,-0.003998068161308765,0.20935918390750885,0.038091711699962616,-0.1381433606147766,-2.7160167694091797
1733461487072340700,0.5113408203125,0.975169837474823,0.07161201536655426,-0.0039034788496792316,0.20952408015727997,0.03799474239349365,-0.13847412168979645,-2.715674638748169
1733461487082350600,0.5213505859375,0.9751184582710266,0.07181268185377121,-0.0037292130291461945,0.20969775319099426,0.03776353597640991,-0.13893426954746246,-2.715319871902466
1733461487092329700,0.531329833984375,0.9750589728355408,0.07207532972097397,-0.003436099970713258,0.20988886058330536,0.03732796013355255,-0.13956564664840698,-2.7149384021759033
