time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1733461488578000000,2.016999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461490577000000,4.016,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461492579000000,6.018,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461494580000000,8.019,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461496580000000,10.019,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461498580000000,12.019,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461500580000000,14.019,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461502580000000,16.019,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461504581000000,18.02,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461506583000000,20.022,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
1733461508583000000,22.022,wifi,true,true,true,false,,02:00:00:00:00:00,74,10.210.99.196,5240,,
