x,y,orientation,landmark,WiFiCalibrated
6.664468314705882,26.19869727,0.0,None,True
3.401963533235294,13.25058742,0.0,None,True
1.8644139886764706,6.87689898,0.0,None,True
1.1276985390441177,3.626521755,0.0,None,True
0.7519820106985294,1.9364167475,0.0,None,True
0.49104966976102943,1.11320748875,0.0,None,True
0.41330277840992646,0.626422854375,0.0,None,True
0.3343777744990809,0.4331327971875,0.0,None,True
0.2835688078377757,0.35624167359375,0.0,None,True
0.2666937565659467,0.27878129679687497,0.0,None,True
0.19319500475356155,0.3125930483984375,0.0,None,True
0.18333983472972196,0.37238212419921873,0.0,None,True
0.24945448795309627,0.35404662209960935,0.0,None,True
0.29423597868243045,0.29412868104980466,0.0,None,True
0.3383857299294505,0.23747608052490232,0.0,None,True
0.34384006496472524,0.20017446526245117,0.0,Elevator (Restroom),True
0.3610713868941273,0.1781821926312256,0.0,Elevator (Restroom),True
0.3496166169764754,0.1877897463156128,0.0,Elevator (Restroom),True
0.3438892320176494,0.1925935231578064,0.0,Elevator (Restroom),True
0.31946076306764826,0.1636864215789032,0.0,Vending Machine,True
0.3300907197691183,0.1755902907894516,0.0,None,True
0.33857045988455914,0.1334205603947258,0.0,Vending Machine,True
0.34390432700110307,0.0650859679473629,0.0,None,True
0.3425308193829045,0.08930449897368145,0.0,None,True
0.3518690743973346,0.14163868448684072,0.0,None,True
0.35070528719866734,0.16861800224342036,0.0,Elevator (Restroom),True
0.3681371112463925,0.1562539611217102,0.0,Elevator (Restroom),True
0.38321316768201974,0.1898275505608551,0.0,Elevator (Restroom),True
0.4006646926645393,0.18972357528042755,0.0,Elevator (Restroom),True
0.4093904551557991,0.18967158764021377,0.0,Elevator (Restroom),True
0.41436437463672304,0.2548643238201069,0.0,None,True
0.4344709932007145,0.25776776191005346,0.0,None,True
0.4688531318944749,0.30744703095502673,0.0,None,True
0.48604420124135517,0.3322866654775134,0.0,None,True
0.5497597329736188,0.2481417427387567,0.0,None,True
0.5582406694279859,0.28644335636937834,0.0,None,True
0.5624811376551695,0.3055941631846892,0.0,None,True
0.6005591982393494,0.2649067565923446,0.0,None,True
0.6195982285314394,0.24456305329617228,0.0,Cafe,True
0.6635866289716021,0.21008381164808615,0.0,Cafe,True
0.7159637733093305,0.16720458082404308,0.0,Cafe,True
0.7549697572429005,0.20000643541202154,0.0,Cafe,True
0.7523639286214503,0.20352530770601077,0.0,Cafe,True
0.7576829113695487,0.16275329385300538,0.0,Cafe,True
0.7343139527435978,0.17431057192650268,0.0,Cafe,True
0.7444090881365049,0.20318654596325134,0.0,Cafe,True
0.7502266764211936,0.23061387298162567,0.0,None,True
0.7629488323282438,0.3345031664908128,0.0,None,True
0.7631599367523572,0.3508901732454064,0.0,None,True
0.7958861066114726,0.3888915566227032,0.0,None,True
0.8083537738939717,0.4156504933113516,0.0,None,True
0.8468593987116918,0.4569015216556758,0.0,None,True
0.8781680846499635,0.44218817582783787,0.0,Main Gate,True
0.8971831482073347,0.3893016379139189,0.0,Main Gate,True
0.8845977741036674,0.42612460895695947,0.0,Main Gate,True
0.8998289752871278,0.41357572447847973,0.0,Main Gate,True
0.8366883494082697,0.3272980372392399,0.0,Main Gate,True
0.8496337952923703,0.26639662361961997,0.0,Main Gate,True
0.8563994682344205,0.33605129180980997,0.0,Main Gate,True
0.8481652694113279,0.41687222090490494,0.0,Main Gate,True
0.8721399935291934,0.48576531045245247,0.0,None,True
0.8841096908822437,0.5486066052262263,0.0,None,True
0.8996550366175924,0.5434443226131132,0.0,None,True
0.9074277094852667,0.5408631813065565,0.0,None,True
0.8804493988602805,0.6794706706532783,0.0,None,True
0.8701542817830814,0.7891813603266391,0.0,None,True
0.8597830350091877,0.8255490801633196,0.0,None,True
0.8626486057398879,0.8575865900816598,0.0,None,True
0.8255794558111205,0.8774745600408299,0.0,None,True
0.7700336367290896,0.9120029300204149,0.0,None,True
0.6812753683645447,0.9159322650102074,0.0,None,True
0.6368962341822724,0.9178969325051036,0.0,None,True
0.705464940620548,0.9159452662525518,0.0,None,True
0.7414643967808623,0.8148369331262759,0.0,Elevator (Main Gate),True
0.7654033778021958,0.7727228165631379,0.0,Elevator (Main Gate),True
0.7428492800775685,0.683129833281569,0.0,Elevator (Main Gate),True
0.719930757685843,0.5543339316407845,0.0,None,True
0.678128225901745,0.5154815658203922,0.0,None,True
0.6785738717744019,0.4684660629101961,0.0,None,True
0.5788957829460244,0.5412363314550981,0.0,None,True
0.535678965002424,0.540976765727549,0.0,None,True
0.5146482619129766,0.47203803286377455,0.0,None,True
0.4759938986035471,0.4893995814318873,0.0,None,True
0.45534305812530296,0.47207534071594365,0.0,None,True
0.4240202052391221,0.5971822403579718,0.0,Escalator,True
0.4261999320313258,0.622570770178986,0.0,None,True
0.44974087483919234,0.662974485089493,0.0,None,True
0.4347397844784197,0.6943797425447464,0.0,None,True
0.41485151429803335,0.7237029062723732,0.0,None,True
0.3837886983254873,0.7749596531361866,0.0,None,True
0.31232586357450837,0.6917960515680933,0.0,Back Gate,True
0.3183000406107836,0.6962781757840466,0.0,Back Gate,True
0.30532521442303884,0.7218985378920233,0.0,Back Gate,True
0.30323726838799003,0.7132824889460117,0.0,Back Gate,True
0.3092975459587009,0.7674137744730058,0.0,Back Gate,True
0.29968031121464456,0.814743957236503,0.0,None,True
0.29487169384261636,0.8384090486182515,0.0,None,True
0.29094086015660225,0.8785888743091257,0.0,Elevator (Back Gate),True
0.3163991271371247,0.8511265871545628,0.0,None,True
0.30343537827444467,0.8480867435772814,0.0,None,True
