time,seconds_elapsed,steps
1733404706106113800,0.27511376953125,0
1733404711306633200,5.47563330078125,6
1733404711866550300,6.03555029296875,7
1733404712506584600,6.67558447265625,8
1733404713066558500,7.235558349609375,9
1733404713706532900,7.875532958984375,10
1733404714346593800,8.51559375,11
1733404714906589000,9.0755888671875,12
1733404715386576400,9.555576416015626,13
1733404716106556700,10.275556640625,14
1733404716666549800,10.8355498046875,15
1733404717306139100,11.47513916015625,16
1733404717866211000,12.035211181640625,17
1733404718506129700,12.675129638671875,18
1733404719146242300,13.3152421875,19
1733404725626124800,19.795124755859376,25
1733404726186075000,20.355074951171876,26
1733404726826196200,20.9951962890625,27
1733404727387542000,21.5565419921875,28
1733404728186265000,22.35526513671875,30
1733404728666136300,22.83513623046875,31
1733404729386245600,23.55524560546875,32
1733404730026163500,24.19516357421875,33
1733404730666269200,24.835269287109377,34
1733404731306089500,25.47508935546875,35
1733404731546125000,25.715125,36
1733404732426220300,26.59522021484375,37
1733404732666136300,26.83513623046875,38
1733404737786272500,31.9552724609375,44
1733404738346709500,32.51570947265625,45
1733404738986218800,33.15521875,46
1733404739626063000,33.79506298828125,47
1733404740186082300,34.35508227539062,48
1733404740826102300,34.99510229492188,49
1733404741466061000,35.63506103515625,50
1733404747066182000,41.23518188476562,56
1733404747626283000,41.79528295898437,57
1733404748266132200,42.43513232421875,58
1733404748826164000,42.9951640625,59
1733404749466146300,43.63514624023438,60
1733404750026261000,44.19526098632812,61
1733404750586235600,44.75523559570313,62
1733404751146148900,45.31514892578125,63
1733404751786247200,45.9552470703125,64
1733404752266184700,46.43518481445312,65
1733404752906146800,47.07514672851563,66
