time,seconds_elapsed,dBFS
1733404729081000000,23.25,-22
1733404729194000000,23.362999755859374,-25
1733404729312000000,23.481,-30
1733404729429000000,23.598,-38
1733404729546000000,23.714999755859374,-42
1733404729664000000,23.833,-31
1733404729780000000,23.949,-21
1733404729901000000,24.07,-23
1733404730015000000,24.184,-19
1733404730132000000,24.301,-18
1733404730250000000,24.418999755859375,-15
1733404730366000000,24.535000244140626,-17
1733404730483000000,24.652,-13
1733404730601000000,24.77,-11
1733404730720000000,24.889,-6
1733404730835000000,25.004,-13
1733404730952000000,25.121,-23
1733404731069000000,25.238,-21
1733404731187000000,25.356,-27
1733404731304000000,25.473,-28
1733404731421000000,25.59,-30
1733404731540000000,25.709,-21
1733404731656000000,25.825,-26
1733404731772000000,25.941,-29
1733404731891000000,26.06,-23
1733404732012000000,26.181,-27
1733404732124000000,26.293,-28
1733404732241000000,26.41,-38
1733404732360000000,26.529,-41
1733404732476000000,26.645,-49
1733404732593000000,26.762,-46
1733404732713000000,26.882,-48
1733404732831000000,27,-43
1733404732944000000,27.113,-49
1733404733062000000,27.231000244140624,-37
1733404733178000000,27.346999755859375,-44
1733404733297000000,27.466,-24
1733404733413000000,27.582,-12
1733404733530000000,27.698999755859376,-10
1733404733649000000,27.818,-22
1733404733765000000,27.934,-23
1733404733882000000,28.050999755859376,-29
1733404733999000000,28.168,-30
1733404734116000000,28.285,-36
1733404734233000000,28.402,-26
1733404734351000000,28.52,-44
1733404734468000000,28.637,-58
1733404734586000000,28.754999755859377,-58
1733404734702000000,28.871000244140625,-33
1733404734820000000,28.989,-36
1733404734939000000,29.108,-27
1733404735055000000,29.224,-38
1733404735172000000,29.341,-37
1733404735291000000,29.46,-43
1733404735406000000,29.575000244140625,-48
1733404735523000000,29.692,-22
1733404735640000000,29.809,-27
1733404735759000000,29.928,-34
1733404735874000000,30.042999755859373,-47
1733404735991000000,30.16,-48
1733404736120000000,30.289,-36
1733404736226000000,30.394999755859374,-41
1733404736343000000,30.512,-40
1733404736460000000,30.629,-44
1733404736581000000,30.75,-44
1733404736695000000,30.864,-42
1733404736812000000,30.981,-22
1733404736943000000,31.112,-35
1733404737047000000,31.216,-42
1733404737164000000,31.333,-38
1733404737281000000,31.45,-40
1733404737400000000,31.569,-22
1733404737515000000,31.684,-17
1733404737634000000,31.802999755859375,-29
1733404737750000000,31.919000244140626,-28
1733404737867000000,32.036,-31
1733404737984000000,32.153,-36
1733404738101000000,32.27,-40
1733404738225000000,32.394,-23
1733404738336000000,32.505,-26
1733404738452000000,32.621,-22
1733404738571000000,32.74,-23
1733404738691000000,32.86,-24
1733404738805000000,32.974,-31
1733404738921000000,33.09,-29
1733404739039000000,33.208,-27
1733404739156000000,33.325,-29
1733404739273000000,33.442,-20
1733404739390000000,33.55900024414063,-27
1733404739508000000,33.677,-16
1733404739626000000,33.79499975585937,-15
1733404739742000000,33.911000244140624,-16
1733404739861000000,34.03,-15
1733404739976000000,34.145,-24
1733404740093000000,34.262,-24
1733404740213000000,34.382,-29
1733404740329000000,34.498,-46
1733404740446000000,34.615000244140624,-31
1733404740563000000,34.732,-40
1733404740680000000,34.849,-52
1733404740797000000,34.966,-11
1733404740914000000,35.082999755859376,-12
1733404741031000000,35.2,-24
1733404741149000000,35.318,-31
1733404741266000000,35.43499975585937,-36
1733404741383000000,35.552,-37
1733404741499000000,35.668,-41
1733404741617000000,35.786,-43
1733404741734000000,35.90300024414063,-39
1733404741851000000,36.02,-36
1733404741970000000,36.13899975585937,-46
1733404742085000000,36.254,-49
1733404742202000000,36.37099975585937,-44
1733404742320000000,36.489,-39
1733404742440000000,36.609,-27
1733404742555000000,36.724,-44
1733404742671000000,36.84,-40
1733404742790000000,36.959000244140626,-38
1733404742906000000,37.07499975585937,-52
1733404743023000000,37.192,-39
1733404743142000000,37.31100024414062,-23
1733404743261000000,37.43,-30
1733404743375000000,37.544,-35
1733404743492000000,37.661,-21
1733404743610000000,37.778999755859374,-23
1733404743725000000,37.894,-33
1733404743843000000,38.012,-32
1733404743960000000,38.129,-29
1733404744080000000,38.249,-37
1733404744194000000,38.36299975585938,-29
1733404744312000000,38.481,-18
1733404744432000000,38.601,-21
1733404744548000000,38.717,-26
1733404744664000000,38.833,-22
1733404744782000000,38.95100024414062,-29
1733404744899000000,39.068,-8
1733404745015000000,39.184,-16
1733404745133000000,39.302,-34
1733404745250000000,39.418999755859375,-37
1733404745367000000,39.536,-36
1733404745484000000,39.653,-21
1733404745601000000,39.77,-33
1733404745719000000,39.888,-30
1733404745835000000,40.004,-34
1733404745952000000,40.121,-13
1733404746069000000,40.238,-16
