time,seconds_elapsed,magneticBearing
1733404706015901700,0.184901611328125,288.6311667591849
1733404706025592300,0.19459228515625,288.6311667591849
1733404706035878700,0.204878662109375,293.9932099520768
1733404706045749200,0.214749267578125,309.1198368296051
1733404706055716400,0.22471630859375,314.65064183169164
1733404706065715500,0.234715576171875,316.84761088563
1733404706075789000,0.2447890625,318.34681856724853
1733404706085749800,0.254749755859375,319.30105708832457
1733404706095722000,0.264721923828125,318.576335534704
1733404706105710600,0.274710693359375,319.5739200188944
1733404706115714600,0.284714599609375,320.2839999156997
1733404706125710800,0.2947109375,319.5008819528339
1733404706135738000,0.304738037109375,320.9501889059501
1733404706145703200,0.314703125,320.5484670714325
1733404706155754500,0.32475439453125,321.2710771887136
1733404706165735400,0.3347353515625,321.519801751657
1733404706175716400,0.34471630859375,320.34074225976775
1733404706185701600,0.35470166015625,322.06672819715186
1733404706195726300,0.364726318359375,321.6544245718179
1733404706205691100,0.374691162109375,321.87911336498917
1733404706215747000,0.3847470703125,320.89551859331146
1733404706225740800,0.39474072265625,321.4795130455793
1733404706235730700,0.404730712890625,321.7927006941168
1733404706245747700,0.414747802734375,321.1046846297451
1733404706255873500,0.42487353515625,321.9301340637055
1733404706265753000,0.434753173828125,321.8551183206645
1733404706275720700,0.444720703125,321.1322217105857
1733404706285752000,0.454751953125,322.4715592006529
1733404706295739100,0.4647392578125,321.5413452265084
1733404706305715200,0.474715087890625,321.68265963336205
1733404706315734300,0.484734375,321.71894320545584
1733404706325759200,0.49475927734375,322.5641285158265
1733404706335726600,0.5047265625,322.391682448069
1733404706345727500,0.5147275390625,322.391682448069
1733404706355747300,0.524747314453125,322.391682448069
1733404706365698600,0.534698486328125,322.391682448069
1733404706375733000,0.54473291015625,322.391682448069
1733404706385723400,0.554723388671875,322.391682448069
1733404706395720400,0.564720458984375,322.391682448069
1733404706405743000,0.5747431640625,322.391682448069
1733404706415795700,0.584795654296875,322.391682448069
1733404706425823700,0.59482373046875,322.2200323253502
1733404706435765200,0.60476513671875,322.35237805490914
1733404706445760000,0.614760009765625,322.35237805490914
1733404706455756500,0.624756591796875,322.35237805490914
1733404706465750800,0.634750732421875,322.35237805490914
1733404706475789300,0.644789306640625,322.35237805490914
1733404706485895400,0.6548955078125,322.18172416037953
1733404706495751400,0.66475146484375,322.18172416037953
1733404706505752800,0.6747529296875,322.18172416037953
1733404706515809500,0.6848095703125,322.18172416037953
1733404706525752000,0.694751953125,322.18172416037953
1733404706535822600,0.704822509765625,322.01185892097453
1733404706545793300,0.714793212890625,322.18172416037953
1733404706555778800,0.72477880859375,322.01185892097453
1733404706565766100,0.73476611328125,321.87911336498917
1733404706575790300,0.744790283203125,321.87911336498917
1733404706585732400,0.754732421875,321.87911336498917
1733404706595783700,0.76478369140625,321.87911336498917
1733404706605787100,0.774787109375,321.87911336498917
1733404706615764500,0.784764404296875,321.9158387692155
1733404706625776000,0.794776123046875,321.9158387692155
1733404706635777300,0.80477734375,321.9158387692155
1733404706645741600,0.814741455078125,321.9158387692155
1733404706655764000,0.824763916015625,321.9158387692155
1733404706665750500,0.83475048828125,321.9158387692155
1733404706675775200,0.844775146484375,321.9158387692155
1733404706685805300,0.854805419921875,321.9158387692155
1733404706695845600,0.864845703125,322.04917570959947
1733404706705745400,0.874745361328125,322.04917570959947
1733404706715778600,0.884778564453125,322.04917570959947
1733404706725808000,0.89480810546875,322.04917570959947
1733404706735795000,0.904794921875,322.04917570959947
1733404706745962800,0.914962646484375,321.9158387692155
1733404706755829000,0.9248291015625,321.9158387692155
1733404706765904100,0.934904052734375,322.04917570959947
1733404706775787300,0.944787353515625,321.9158387692155
1733404706785778200,0.954778076171875,321.9158387692155
1733404706795786500,0.964786376953125,321.9158387692155
1733404706805728800,0.974728759765625,321.9158387692155
1733404706815780600,0.984780517578125,321.9158387692155
1733404706825808600,0.99480859375,321.7817026076463
1733404706835878100,1.004878173828125,321.7817026076463
1733404706845881900,1.0148818359375,321.9158387692155
1733404706855775200,1.024775146484375,321.7817026076463
1733404706865843000,1.034843017578125,321.9158387692155
1733404706875798000,1.044798095703125,321.9158387692155
1733404706885773800,1.05477392578125,321.9158387692155
1733404706895750700,1.064750732421875,321.9158387692155
1733404706905768400,1.0747685546875,321.9158387692155
1733404706915784700,1.08478466796875,321.9158387692155
1733404706925755100,1.094755126953125,321.9158387692155
1733404706935786500,1.104786376953125,321.9158387692155
1733404706945773000,1.11477294921875,321.7455818281589
1733404706955783000,1.124782958984375,321.87911336498917
1733404706965772300,1.134772216796875,321.7455818281589
1733404706975851800,1.144851806640625,321.7455818281589
1733404706985778200,1.154778076171875,321.7455818281589
1733404706995892500,1.164892578125,321.7455818281589
1733404707005883000,1.1748828125,321.6112536332974
1733404707015888400,1.184888427734375,321.7455818281589
1733404707025868500,1.19486865234375,321.7455818281589
1733404707035808000,1.20480810546875,321.7455818281589
1733404707045820700,1.214820556640625,321.7455818281589
1733404707055757600,1.224757568359375,321.7455818281589
1733404707065842000,1.234842041015625,321.7455818281589
1733404707075786200,1.2447861328125,321.7455818281589
1733404707085772500,1.2547724609375,321.7455818281589
1733404707095772200,1.264772216796875,321.7455818281589
1733404707105861600,1.274861572265625,321.7455818281589
1733404707115778800,1.28477880859375,321.7098362991484
1733404707125775600,1.294775634765625,321.7098362991484
1733404707135780400,1.3047802734375,321.7098362991484
1733404707145754400,1.31475439453125,321.7098362991484
1733404707155772200,1.324772216796875,321.7098362991484
1733404707165764000,1.33476416015625,321.5413452265084
1733404707175766500,1.3447666015625,321.5413452265084
