time,seconds_elapsed,lux
1733230293028609500,0.478609619140625,425
1733230293034759700,0.484759765625,424
1733230293074680600,0.5246806640625,423
1733230293114678800,0.5646787109375,421
1733230293154711600,0.604711669921875,419
1733230293194662400,0.644662353515625,418
1733230293234666800,0.684666748046875,416
1733230293554694700,1.004694580078125,417
1733230293594720800,1.044720703125,418
1733230293634662400,1.084662353515625,419
1733230293954701000,1.404701171875,420
1733230293994698000,1.444697998046875,421
1733230294034688300,1.484688232421875,423
1733230294074705200,1.524705078125,424
1733230294114885600,1.5648857421875,427
1733230294154822400,1.604822509765625,428
1733230294354806500,1.804806640625,426
1733230294394794200,1.844794189453125,425
1733230294434697200,1.884697265625,424
1733230294474660600,1.92466064453125,423
1733230294514707200,1.964707275390625,421
1733230294554761200,2.00476123046875,417
1733230294594727700,2.044727783203125,414
1733230294634726400,2.084726318359375,408
1733230294674678300,2.12467822265625,402
1733230294714677200,2.16467724609375,395
1733230294754659800,2.204659912109375,386
1733230294794666800,2.244666748046875,376
1733230294834654200,2.284654296875,364
1733230294874703400,2.324703369140625,352
1733230294914684200,2.36468408203125,341
1733230294954687200,2.404687255859375,331
1733230294994706700,2.444706787109375,322
1733230295034706700,2.484706787109375,314
1733230295074705700,2.52470556640625,305
1733230295114679600,2.564679443359375,294
1733230295154699500,2.604699462890625,284
1733230295194809000,2.64480908203125,274
1733230295234699300,2.68469921875,263
1733230295274789400,2.724789306640625,252
1733230295314700800,2.76470068359375,241
1733230295354685000,2.804684814453125,228
1733230295394688300,2.844688232421875,216
1733230295434689800,2.884689697265625,203
1733230295474678000,2.924677978515625,187
1733230295514687700,2.964687744140625,171
1733230295554792200,3.004792236328125,157
1733230295594805500,3.044805419921875,145
1733230295634689300,3.084689208984375,134
1733230295674667000,3.1246669921875,123
1733230295714690300,3.164690185546875,113
1733230295754738400,3.204738525390625,102
1733230295794700800,3.24470068359375,92
1733230295834708000,3.2847080078125,85
1733230295874653700,3.32465380859375,76
1733230295914694100,3.364694091796875,69
1733230295954704000,3.404703857421875,60
1733230295994682400,3.444682373046875,52
1733230296034699800,3.48469970703125,45
1733230296074710000,3.5247099609375,36
1733230296114695000,3.56469482421875,27
1733230296154799600,3.604799560546875,20
1733230296194672400,3.64467236328125,14
1733230296314835000,3.7648349609375,22
1733230296354787600,3.80478759765625,33
1733230296394692600,3.844692626953125,44
1733230296434827800,3.884827880859375,55
1733230296474655700,3.92465576171875,56
1733230296994724600,4.444724609375,49
1733230297034689800,4.484689697265625,44
1733230297074650400,4.524650390625,40
1733230297234776600,4.684776611328125,48
1733230297274681300,4.724681396484375,56
1733230297314745900,4.764745849609375,65
1733230297354686200,4.804686279296875,73
1733230297394714000,4.844714111328125,88
1733230297434700000,4.884699951171875,102
1733230297474652700,4.924652587890625,118
1733230297514775800,4.96477587890625,135
1733230297554689000,5.00468896484375,146
1733230297594941400,5.04494140625,159
1733230297634704000,5.084703857421875,171
1733230297674696400,5.124696533203125,187
1733230297714693400,5.164693359375,205
1733230297754663400,5.204663330078125,223
1733230297794748000,5.244747802734375,242
1733230297834689500,5.284689453125,291
1733230297874711300,5.324711181640625,297
1733230297914681600,5.364681640625,306
1733230297954682600,5.4046826171875,310
1733230297994724600,5.444724609375,315
1733230298034714000,5.484714111328125,320
1733230298074702000,5.5247021484375,324
1733230298114691300,5.56469140625,328
1733230298154700000,5.604699951171875,339
1733230298194701800,5.644701904296875,346
1733230298234780000,5.68477978515625,353
1733230298274713600,5.724713623046875,357
1733230298314726100,5.76472607421875,360
1733230298354810600,5.804810546875,362
1733230298394690300,5.844690185546875,364
1733230298474688000,5.92468798828125,367
1733230298514701800,5.964701904296875,371
1733230298554694400,6.0046943359375,375
1733230298594707000,6.04470703125,381
1733230298634760200,6.08476025390625,383
1733230298754656800,6.20465673828125,382
1733230298794775600,6.244775634765625,380
1733230298834687000,6.28468701171875,375
1733230298874817500,6.324817626953125,369
1733230298914694700,6.364694580078125,361
1733230298954737000,6.40473681640625,352
1733230298994662100,6.444662109375,343
1733230299034670000,6.484670166015625,333
1733230299074709000,6.524708984375,323
1733230299114718500,6.564718505859375,312
1733230299154691000,6.604691162109375,301
1733230299194708700,6.644708740234375,293
1733230299234693600,6.684693603515625,283
1733230299274682400,6.724682373046875,273
1733230299314758100,6.764758056640625,262
1733230299354701000,6.804701171875,248
1733230299394711000,6.8447109375,238
1733230299434745600,6.88474560546875,231
1733230299474690600,6.924690673828125,224
1733230299514846700,6.9648466796875,219
1733230299554743300,7.004743408203125,215
1733230299594841600,7.044841552734375,211
1733230299634674000,7.084673828125,209
1733230299674651100,7.124651123046875,205
1733230299714713900,7.1647138671875,203
