time,seconds_elapsed,brightness
1732873914327000000,1.006,0.5
1732873915327000000,2.006,0.5
1732873916326000000,3.005000244140625,0.5
1732873917328000000,4.007,0.5
1732873918327000000,5.006,0.5
1732873919326000000,6.005000244140625,0.5
1732873920326000000,7.005000244140625,0.5
1732873921328000000,8.007,0.5
1732873922329000000,9.008,0.5
1732873923328000000,10.007,0.5
1732873924331000000,11.01,0.5
1732873925333000000,12.012,0.5
1732873926333000000,13.012,0.5
1732873927332000000,14.011,0.5
1732873928332000000,15.011,0.5
1732873929331000000,16.01,0.5
1732873930335000000,17.014,0.5
1732873931333000000,18.012,0.5
1732873932334000000,19.013000244140624,0.5
1732873933335000000,20.014,0.5
1732873934336000000,21.015,0.5
1732873935336000000,22.015,0.5
1732873936337000000,23.016,0.5
1732873937338000000,24.016999755859374,0.5
1732873938341000000,25.02,0.5
1732873939342000000,26.021000244140627,0.5
1732873940343000000,27.022,0.5
1732873941343000000,28.022,0.5
1732873942342000000,29.021000244140627,0.5
1732873943343000000,30.022,0.5
1732873944344000000,31.023,0.5
1732873945345000000,32.024,0.5
1732873946345000000,33.024,0.5
1732873947346000000,34.024999755859376,0.5
1732873948347000000,35.026,0.5
1732873949348000000,36.027,0.5
1732873950350000000,37.029000244140626,0.5
