time,seconds_elapsed,temperature
1732873914327000000,1.006,18.2
1732873915326000000,2.005000244140625,18.2
1732873916325000000,3.004,18.2
1732873917327000000,4.006,18.2
1732873918325000000,5.004,18.2
1732873919326000000,6.005000244140625,18.2
1732873920326000000,7.005000244140625,18.2
1732873921327000000,8.006,18.2
1732873922328000000,9.007,18.2
1732873923327000000,10.006,18.2
1732873924327000000,11.006,18.2
1732873925332000000,12.011,18.2
1732873926332000000,13.011,18.2
1732873927331000000,14.01,18.2
1732873928331000000,15.01,18.2
1732873929331000000,16.01,18.2
1732873930335000000,17.014,18.2
1732873931332000000,18.011,18.2
1732873932333000000,19.012,18.2
1732873933334000000,20.013000244140624,18.2
1732873934336000000,21.015,18.2
1732873935336000000,22.015,17.8
1732873936336000000,23.015,17.8
1732873937337000000,24.016,17.8
1732873938340000000,25.019,17.8
1732873939341000000,26.02,17.8
1732873940342000000,27.021000244140627,17.8
1732873941342000000,28.021000244140627,17.8
1732873942342000000,29.021000244140627,17.8
1732873943343000000,30.022,17.8
1732873944343000000,31.022,17.8
1732873945344000000,32.023,17.8
1732873946344000000,33.023,17.8
1732873947345000000,34.024,17.8
1732873948346000000,35.024999755859376,17.8
1732873949347000000,36.026,17.8
1732873950347000000,37.026,17.8
