time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1732873915335000000,2.014,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873917336000000,4.015,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873919336000000,6.015,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873921337000000,8.016,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873923341000000,10.02,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873925341000000,12.02,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873927340000000,14.019,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873929341000000,16.02,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873931340000000,18.019,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873933343000000,20.022,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873935341000000,22.02,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873937342000000,24.021000244140627,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873939343000000,26.022,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873941341000000,28.02,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873943342000000,30.021000244140627,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873945343000000,32.022,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873947344000000,34.023,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
1732873949345000000,36.024,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.210.96.183,5320,,
