time,seconds_elapsed,dBFS
1733237825946000000,0.061999755859375,-160
1733237826073000000,0.189,-160
1733237826191000000,0.307,-160
1733237826309000000,0.425,-160
1733237826428000000,0.544,-52
1733237826543000000,0.659,-25
1733237826660000000,0.776,-9
1733237826777000000,0.893,-15
1733237826897000000,1.013,-13
1733237827012000000,1.128,-6
1733237827128000000,1.244,-12
1733237827248000000,1.364,-12
1733237827363000000,1.479,-26
1733237827481000000,1.597,-19
1733237827597000000,1.713,-21
1733237827717000000,1.833,-22
1733237827831000000,1.947,-22
1733237827949000000,2.065,-11
1733237828066000000,2.181999755859375,-19
1733237828184000000,2.3,-36
1733237828300000000,2.416,-31
1733237828417000000,2.533,-13
1733237828537000000,2.653,-22
1733237828652000000,2.768,-22
1733237828769000000,2.885,-30
1733237828886000000,3.002000244140625,-12
