time,seconds_elapsed,lux
1733237826077380600,0.193380615234375,177
1733237826081153000,0.197153076171875,176
1733237826121173800,0.237173828125,175
1733237826161154800,0.27715478515625,174
1733237826201256700,0.317256591796875,173
1733237826241077500,0.357077392578125,172
1733237826481132000,0.597132080078125,173
1733237826521106200,0.637106201171875,174
1733237826681113300,0.79711328125,171
1733237826721144000,0.83714404296875,165
1733237826761161700,0.87716162109375,161
1733237826801153800,0.91715380859375,158
1733237826841177300,0.95717724609375,157
1733237826961154000,1.077154052734375,156
1733237827041145300,1.157145263671875,155
1733237827081228800,1.197228759765625,150
1733237827121130000,1.2371298828125,146
1733237827161208000,1.2772080078125,143
1733237827281145900,1.397145751953125,144
1733237827321140700,1.437140625,147
1733237827361108700,1.477108642578125,149
1733237827401133600,1.517133544921875,150
1733237827521198300,1.6371982421875,149
1733237827561236000,1.677236083984375,143
1733237827601223200,1.71722314453125,137
1733237827641144300,1.757144287109375,133
1733237827681247200,1.797247314453125,130
1733237827801120300,1.917120361328125,132
1733237827841164300,1.957164306640625,134
1733237827961113900,2.07711376953125,133
1733237828001144600,2.11714453125,132
1733237828041120800,2.157120849609375,129
1733237828081116000,2.197115966796875,128
1733237828161127200,2.277127197265625,127
1733237828361119500,2.477119384765625,126
1733237828401132800,2.5171328125,122
1733237828441162500,2.55716259765625,118
1733237828481294600,2.597294677734375,117
1733237828521146400,2.637146484375,116
1733237828601215000,2.717215087890625,115
1733237828641138400,2.757138427734375,116
1733237828761147400,2.8771474609375,110
1733237828801113600,2.917113525390625,98
1733237828841114400,2.9571142578125,87
1733237828881143300,2.997143310546875,78
1733237828921167000,3.0371669921875,77
1733237829041082000,3.15708203125,81
1733237829081054500,3.197054443359375,83
1733237829121071900,3.23707177734375,85
