time,seconds_elapsed,z,y,x
1733237826070646300,0.186646240234375,-27.399999618530273,-32.20000076293945,-9.699999809265137
1733237826080760800,0.1967607421875,-25.80000114440918,-29.200000762939453,-7
1733237826090661600,0.20666162109375,-24.200000762939453,-25.700000762939453,-3.799999952316284
1733237826100696600,0.216696533203125,-23,-23.80000114440918,-2.299999952316284
1733237826110660900,0.226660888671875,-23,-22.80000114440918,-1.5
1733237826120781800,0.23678173828125,-22.899999618530273,-23,-1.3000000715255737
1733237826130702800,0.246702880859375,-21.600000381469727,-22.5,-0.800000011920929
1733237826140717800,0.2567177734375,-22.80000114440918,-22.700000762939453,-0.9000000357627869
1733237826150719500,0.266719482421875,-22.5,-22.5,-0.800000011920929
1733237826160765000,0.276764892578125,-22.100000381469727,-21.399999618530273,-0.20000000298023224
1733237826170711800,0.2867119140625,-21.700000762939453,-23,-0.30000001192092896
1733237826180701700,0.29670166015625,-22.899999618530273,-21.700000762939453,-0.10000000149011612
1733237826190745600,0.30674560546875,-23.100000381469727,-22.100000381469727,-0.6000000238418579
1733237826200864800,0.31686474609375,-22.399999618530273,-21.700000762939453,-0.30000001192092896
1733237826210667300,0.326667236328125,-22.5,-22.200000762939453,-0.10000000149011612
1733237826220703200,0.336703125,-21.899999618530273,-22,-0.5
1733237826230719500,0.346719482421875,-21.899999618530273,-22.30000114440918,-0.800000011920929
1733237826240685600,0.356685546875,-22.30000114440918,-22,0
1733237826250805200,0.36680517578125,-23.200000762939453,-21.80000114440918,0.4000000059604645
1733237826260795000,0.376794921875,-22.100000381469727,-21.700000762939453,-0.10000000149011612
1733237826270754300,0.38675439453125,-22.899999618530273,-21.899999618530273,0.4000000059604645
1733237826280826400,0.396826416015625,-22.600000381469727,-21.5,0.20000000298023224
1733237826290727400,0.4067275390625,-22.399999618530273,-21.899999618530273,0.30000001192092896
1733237826300722700,0.41672265625,-21.200000762939453,-21.899999618530273,0
1733237826310696000,0.426696044921875,-22.5,-21.399999618530273,0.699999988079071
1733237826320767000,0.43676708984375,-21.700000762939453,-22.700000762939453,0.4000000059604645
1733237826330695700,0.44669580078125,-21.30000114440918,-21.899999618530273,0.6000000238418579
1733237826340719000,0.456718994140625,-22,-22,0.4000000059604645
1733237826350807800,0.466807861328125,-22,-21.5,0.4000000059604645
1733237826360822300,0.476822265625,-22,-21.399999618530273,0.30000001192092896
1733237826370717400,0.486717529296875,-21.80000114440918,-21,0.5
1733237826380738000,0.496738037109375,-21.80000114440918,-21.100000381469727,0.6000000238418579
1733237826390707200,0.506707275390625,-21.80000114440918,-21.100000381469727,0.6000000238418579
1733237826400731000,0.51673095703125,-21.80000114440918,-21.100000381469727,0.6000000238418579
1733237826410716200,0.526716064453125,-21.80000114440918,-21.200000762939453,0.6000000238418579
1733237826420773400,0.5367734375,-21.80000114440918,-21.200000762939453,0.6000000238418579
1733237826430746600,0.54674658203125,-21.899999618530273,-21.200000762939453,0.6000000238418579
1733237826440755200,0.556755126953125,-21.80000114440918,-21.200000762939453,0.6000000238418579
1733237826450722000,0.56672216796875,-21.899999618530273,-21.200000762939453,0.6000000238418579
1733237826460744700,0.57674462890625,-21.899999618530273,-21.30000114440918,0.6000000238418579
1733237826470711800,0.5867119140625,-21.899999618530273,-21.200000762939453,0.699999988079071
1733237826480756000,0.596755859375,-21.80000114440918,-21.200000762939453,0.699999988079071
1733237826490698800,0.60669873046875,-21.80000114440918,-21.200000762939453,0.699999988079071
1733237826500739300,0.6167392578125,-21.700000762939453,-21.200000762939453,0.6000000238418579
1733237826510722000,0.62672216796875,-21.700000762939453,-21.100000381469727,0.6000000238418579
1733237826520730400,0.63673046875,-21.700000762939453,-21,0.6000000238418579
1733237826530717400,0.646717529296875,-21.600000381469727,-21,0.6000000238418579
1733237826540745700,0.656745849609375,-21.600000381469727,-21,0.5
1733237826550705400,0.666705322265625,-21.5,-20.899999618530273,0.5
1733237826560751400,0.67675146484375,-21.399999618530273,-20.899999618530273,0.4000000059604645
1733237826570728000,0.68672802734375,-21.399999618530273,-20.899999618530273,0.4000000059604645
1733237826580727000,0.69672705078125,-21.30000114440918,-20.899999618530273,0.30000001192092896
1733237826590775600,0.706775634765625,-21.30000114440918,-20.80000114440918,0.20000000298023224
1733237826600769500,0.71676953125,-21.30000114440918,-20.80000114440918,0.20000000298023224
1733237826610702600,0.72670263671875,-21.200000762939453,-20.80000114440918,0.10000000149011612
1733237826620750300,0.736750244140625,-21.200000762939453,-20.700000762939453,0.10000000149011612
1733237826630893600,0.7468935546875,-21.200000762939453,-20.600000381469727,0
1733237826640734000,0.75673388671875,-21.200000762939453,-20.600000381469727,0
1733237826650710800,0.766710693359375,-21.200000762939453,-20.5,0
1733237826660760800,0.7767607421875,-21.200000762939453,-20.5,-0.10000000149011612
1733237826670742300,0.7867421875,-21.100000381469727,-20.399999618530273,-0.20000000298023224
1733237826680729300,0.796729248046875,-21.100000381469727,-20.399999618530273,-0.30000001192092896
1733237826690738200,0.80673828125,-21.100000381469727,-20.30000114440918,-0.30000001192092896
1733237826700784600,0.81678466796875,-21.100000381469727,-20.30000114440918,-0.4000000059604645
1733237826710721800,0.8267216796875,-21.100000381469727,-20.30000114440918,-0.5
1733237826720760300,0.83676025390625,-21.100000381469727,-20.200000762939453,-0.6000000238418579
1733237826730757000,0.846757080078125,-21,-20.200000762939453,-0.699999988079071
1733237826740723200,0.85672314453125,-21,-20.200000762939453,-0.9000000357627869
1733237826750756900,0.8667568359375,-21,-20.200000762939453,-0.9000000357627869
1733237826760774700,0.876774658203125,-21,-20.200000762939453,-1
1733237826770738400,0.886738525390625,-21,-20.200000762939453,-1.100000023841858
1733237826780736500,0.896736572265625,-21,-20.200000762939453,-1.2000000476837158
1733237826790739500,0.906739501953125,-20.899999618530273,-20.200000762939453,-1.3000000715255737
1733237826800766700,0.9167666015625,-20.899999618530273,-20.30000114440918,-1.399999976158142
1733237826810726000,0.926725830078125,-21,-20.30000114440918,-1.5
1733237826820769300,0.936769287109375,-20.899999618530273,-20.30000114440918,-1.5
1733237826830723000,0.94672314453125,-21,-20.30000114440918,-1.5
1733237826840788500,0.95678857421875,-21,-20.30000114440918,-1.600000023841858
1733237826850727000,0.966726806640625,-21,-20.30000114440918,-1.600000023841858
1733237826860772600,0.976772705078125,-21,-20.30000114440918,-1.7000000476837158
1733237826870861800,0.98686181640625,-21,-20.30000114440918,-1.8000000715255737
1733237826880785000,0.996784912109375,-21,-20.399999618530273,-1.899999976158142
1733237826890834400,1.00683447265625,-21,-20.399999618530273,-1.899999976158142
1733237826900763600,1.016763671875,-21,-20.399999618530273,-2.1000001430511475
1733237826910742300,1.0267421875,-21,-20.5,-2.200000047683716
1733237826920774000,1.03677392578125,-21,-20.600000381469727,-2.299999952316284
1733237826930741200,1.0467412109375,-21,-20.700000762939453,-2.5
1733237826940936000,1.05693603515625,-21,-20.899999618530273,-2.700000047683716
1733237826950750500,1.06675048828125,-20.899999618530273,-21,-2.9000000953674316
1733237826960774400,1.0767744140625,-20.899999618530273,-21.200000762939453,-3
1733237826970712000,1.086712158203125,-20.899999618530273,-21.399999618530273,-3.200000047683716
1733237826980800800,1.09680078125,-20.899999618530273,-21.600000381469727,-3.4000000953674316
1733237826990707000,1.10670703125,-20.899999618530273,-21.700000762939453,-3.5
1733237827000778500,1.116778564453125,-20.899999618530273,-21.899999618530273,-3.6000001430511475
1733237827010730500,1.12673046875,-20.899999618530273,-22.100000381469727,-3.799999952316284
1733237827020772600,1.136772705078125,-20.899999618530273,-22.30000114440918,-3.9000000953674316
1733237827030729200,1.146729248046875,-20.899999618530273,-22.399999618530273,-4
1733237827040769500,1.15676953125,-20.80000114440918,-22.5,-4.099999904632568
1733237827050817500,1.166817626953125,-20.80000114440918,-22.700000762939453,-4.200000286102295
1733237827060736800,1.17673681640625,-20.80000114440918,-22.80000114440918,-4.300000190734863
1733237827070748700,1.186748779296875,-20.80000114440918,-22.899999618530273,-4.400000095367432
1733237827080853200,1.196853271484375,-20.80000114440918,-23.100000381469727,-4.400000095367432
1733237827090703400,1.206703369140625,-20.80000114440918,-23.200000762939453,-4.5
1733237827100771800,1.216771728515625,-20.80000114440918,-23.399999618530273,-4.599999904632568
1733237827110718500,1.226718505859375,-20.80000114440918,-23.5,-4.700000286102295
1733237827120747000,1.2367470703125,-20.80000114440918,-23.700000762939453,-4.800000190734863
1733237827130747600,1.24674755859375,-20.80000114440918,-23.80000114440918,-4.900000095367432
1733237827140881000,1.256880859375,-20.80000114440918,-24,-4.900000095367432
1733237827150718700,1.26671875,-20.700000762939453,-24.100000381469727,-5
1733237827160832300,1.276832275390625,-20.700000762939453,-24.30000114440918,-5
1733237827170740200,1.286740234375,-20.600000381469727,-24.399999618530273,-5
1733237827180827400,1.296827392578125,-20.600000381469727,-24.5,-5
1733237827190756000,1.306756103515625,-20.700000762939453,-24.600000381469727,-4.900000095367432
1733237827200779300,1.316779296875,-20.600000381469727,-24.700000762939453,-4.800000190734863
1733237827210747000,1.326746826171875,-20.600000381469727,-24.80000114440918,-4.700000286102295
1733237827220755000,1.3367548828125,-20.5,-24.80000114440918,-4.599999904632568
1733237827230767000,1.34676708984375,-20.5,-24.80000114440918,-4.5
1733237827240754700,1.356754638671875,-20.5,-24.80000114440918,-4.300000190734863
