time,seconds_elapsed,magneticBearing
1733237826070646300,0.186646240234375,163.2354807417779
1733237826080760800,0.1967607421875,166.51911052444044
1733237826090661600,0.20666162109375,171.58919146912405
1733237826100696600,0.216696533203125,174.4801540326446
1733237826110660900,0.226660888671875,176.2359653234808
1733237826120781800,0.23678173828125,176.764984764604
1733237826130702800,0.246702880859375,177.96367451488365
1733237826140717800,0.2567177734375,177.72955031543896
1733237826150719500,0.266719482421875,177.96367451488365
1733237826160765000,0.276764892578125,179.4645409969126
1733237826170711800,0.2867119140625,179.25270609348252
1733237826180701700,0.29670166015625,179.73596602408944
1733237826190745600,0.30674560546875,178.44484045999724
1733237826200864800,0.31686474609375,179.20794290421208
1733237826210667300,0.326667236328125,179.74191265368754
1733237826220703200,0.336703125,178.69804732742114
1733237826230719500,0.346719482421875,177.94542719383287
1733237826240685600,0.356685546875,180
1733237826250805200,0.36680517578125,181.0511807100338
1733237826260795000,0.376794921875,179.73596602408944
1733237826270754300,0.38675439453125,181.04638194090955
1733237826280826400,0.396826416015625,180.53296863059563
1733237826290727400,0.4067275390625,180.78482464784304
1733237826300722700,0.41672265625,180
1733237826310696000,0.426696044921875,181.87349301508976
1733237826320767000,0.43676708984375,181.00951276373382
1733237826330695700,0.44669580078125,181.56935489440082
1733237826340719000,0.456718994140625,181.041626691528
1733237826350807800,0.466807861328125,181.06584504344025
1733237826360822300,0.476822265625,180.80315929803572
1733237826370717400,0.486717529296875,181.3639275316029
1733237826380738000,0.496738037109375,181.62882497578266
1733237826390707200,0.506707275390625,181.62882497578266
1733237826400731000,0.51673095703125,181.62882497578266
1733237826410716200,0.526716064453125,181.62114591972738
1733237826420773400,0.5367734375,181.62114591972738
1733237826430746600,0.54674658203125,181.62114591972738
1733237826440755200,0.556755126953125,181.62114591972738
1733237826450722000,0.56672216796875,181.62114591972738
1733237826460744700,0.57674462890625,181.61353891031695
1733237826470711800,0.5867119140625,181.89115460149367
1733237826480756000,0.596755859375,181.89115460149367
1733237826490698800,0.60669873046875,181.89115460149367
1733237826500739300,0.6167392578125,181.62114591972738
1733237826510722000,0.62672216796875,181.62882497578266
1733237826520730400,0.63673046875,181.6365771066131
1733237826530717400,0.646717529296875,181.6365771066131
1733237826540745700,0.656745849609375,181.3639275316029
1733237826550705400,0.666705322265625,181.37045104280372
1733237826560751400,0.67675146484375,181.09643612033463
1733237826570728000,0.68672802734375,181.09643612033463
1733237826580727000,0.69672705078125,180.82237102767974
1733237826590775600,0.706775634765625,180.5509039571185
1733237826600769500,0.71676953125,180.5509039571185
1733237826610702600,0.72670263671875,180.27545834508442
1733237826620750300,0.736750244140625,180.27678904610073
1733237826630893600,0.7468935546875,180
1733237826640734000,0.75673388671875,180
1733237826650710800,0.766710693359375,180
1733237826660760800,0.7767607421875,179.72051060529063
1733237826670742300,0.7867421875,179.438294648561
1733237826680729300,0.796729248046875,179.157475690033
1733237826690738200,0.80673828125,179.15332599022375
1733237826700784600,0.81678466796875,178.87116525014417
1733237826710721800,0.8267216796875,178.58905925912666
1733237826720760300,0.83676025390625,178.29864539132902
1733237826730757000,0.846757080078125,178.01529699651957
1733237826740723200,0.85672314453125,177.44890490598732
1733237826750756900,0.8667568359375,177.44890490598732
1733237826760774700,0.876774658203125,177.1658890905613
1733237826770738400,0.886738525390625,176.88301145094843
1733237826780736500,0.896736572265625,176.60028583420467
1733237826790739500,0.906739501953125,176.3177258743488
1733237826800766700,0.9167666015625,176.0548140596433
1733237826810726000,0.926725830078125,175.7740020594184
1733237826820769300,0.936769287109375,175.7740020594184
1733237826830723000,0.94672314453125,175.7740020594184
1733237826840788500,0.95678857421875,175.4933933023673
1733237826850727000,0.966726806640625,175.4933933023673
1733237826860772600,0.976772705078125,175.21300101401445
1733237826870861800,0.98686181640625,174.93283835801736
1733237826880785000,0.996784912109375,174.67897873475627
1733237826890834400,1.00683447265625,174.67897873475627
1733237826900763600,1.016763671875,174.12260688665904
1733237826910742300,1.0267421875,173.8746279280457
1733237826920774000,1.03677392578125,173.62928331610075
1733237826930741200,1.0467412109375,173.1135729199436
1733237826940936000,1.05693603515625,172.6389220669647
1733237826950750500,1.06675048828125,172.13745412251652
1733237826960774400,1.0767744140625,171.9455858396745
1733237826970712000,1.086712158203125,171.49542048486327
1733237826980800800,1.09680078125,171.05461807503377
1733237826990707000,1.10670703125,170.8376532709489
1733237827000778500,1.116778564453125,170.66500101271058
1733237827010730500,1.12673046875,170.24364073437093
1733237827020772600,1.136772705078125,170.07998729881103
1733237827030729200,1.146729248046875,169.8753281757471
1733237827040769500,1.15676953125,169.6727463448522
1733237827050817500,1.166817626953125,169.5175612487103
1733237827060736800,1.17673681640625,169.3196661952912
1733237827070748700,1.186748779296875,169.12375270989887
1733237827080853200,1.196853271484375,169.21570207808938
1733237827090703400,1.206703369140625,169.022902687473
1733237827100771800,1.216771728515625,168.87853985314868
1733237827110718500,1.226718505859375,168.69006685525747
1733237827120747000,1.2367470703125,168.5506619273973
1733237827130747600,1.24674755859375,168.36636632495708
1733237827140881000,1.256880859375,168.4607019213124
1733237827150718700,1.26671875,168.2791886815821
1733237827160832300,1.276832275390625,168.3730195503575
1733237827170740200,1.286740234375,168.41938064161124
1733237827180827400,1.296827392578125,168.4653793463553
1733237827190756000,1.306756103515625,168.73486479908328
1733237827200779300,1.316779296875,169.00266795874424
1733237827210747000,1.326746826171875,169.26879293721603
1733237827220755000,1.3367548828125,169.49197854686614
1733237827230767000,1.34676708984375,169.71548606705534
1733237827240754700,1.356754638671875,170.1634455118109
