time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1733237826885000000,1.001,0.9100000262260437,unplugged,false
1733237827886000000,2.002000244140625,0.8999999761581421,unplugged,false
1733237828887000000,3.003,0.8999999761581421,unplugged,false
