time,seconds_elapsed,brightness
1732873430350000000,1.006000244140625,0.5
1732873431350000000,2.006000244140625,0.5
1732873432353000000,3.009,0.5
1732873433357000000,4.013,0.5
1732873434354000000,5.009999755859375,0.5
1732873435353000000,6.009,0.5
1732873436354000000,7.009999755859375,0.5
1732873437353000000,8.009,0.5
1732873438356000000,9.012,0.5
1732873439355000000,10.011,0.5
1732873440356000000,11.012,0.5
1732873441357000000,12.013,0.5
1732873442357000000,13.013,0.5
1732873443357000000,14.013,0.5
1732873444358000000,15.014000244140625,0.5
1732873445358000000,16.014000244140625,0.5
1732873446360000000,17.016,0.5
1732873447359000000,18.015,0.5
1732873448359000000,19.015,0.5
1732873449361000000,20.017,0.5
1732873450361000000,21.017,0.5
1732873451365000000,22.021,0.5
1732873452364000000,23.02,0.5
1732873453364000000,24.02,0.5
1732873454366000000,25.022000244140624,0.5
1732873455363000000,26.019,0.5
1732873456366000000,27.022000244140624,0.5
