time,seconds_elapsed,dBFS
1732873452803000000,23.459,-19
1732873452920000000,23.576,-15
1732873453037000000,23.693,-26
1732873453158000000,23.814000244140626,-18
1732873453272000000,23.928,-7
1732873453389000000,24.045,-7
1732873453507000000,24.163,-18
1732873453626000000,24.281999755859374,-22
1732873453741000000,24.397,-20
1732873453858000000,24.513999755859373,-35
1732873453975000000,24.631,-35
1732873454092000000,24.748,-35
1732873454209000000,24.865,-34
1732873454327000000,24.983,-26
1732873454447000000,25.103,-28
1732873454561000000,25.217,-28
1732873454678000000,25.334000244140626,-29
1732873454796000000,25.452,-27
1732873454913000000,25.569,-27
1732873455030000000,25.686000244140626,-20
1732873455147000000,25.803,-19
1732873455266000000,25.921999755859375,-24
1732873455381000000,26.037,-26
1732873455499000000,26.155,-22
1732873455616000000,26.272,-11
1732873455733000000,26.389,-19
1732873455850000000,26.505999755859374,-22
1732873455967000000,26.623,-23
1732873456086000000,26.742000244140623,-24
1732873456203000000,26.859,-24
1732873456319000000,26.975,-16
1732873456436000000,27.092,-23
1732873456553000000,27.209,-15
1732873456673000000,27.329,-15
