time,seconds_elapsed,brightness
1732873982875000000,1.005,0.5
1732873983876000000,2.006,0.5
1732873984878000000,3.008000244140625,0.5
1732873985883000000,4.013,0.5
1732873986880000000,5.01,0.5
1732873987882000000,6.011999755859375,0.5
1732873988881000000,7.011,0.5
1732873989880000000,8.01,0.5
1732873990883000000,9.013,0.5
1732873991880000000,10.01,0.5
1732873992881000000,11.011,0.5
1732873993882000000,12.011999755859375,0.5
1732873994881000000,13.011,0.5
1732873995881000000,14.011,0.5
1732873996882000000,15.011999755859375,0.5
1732873997884000000,16.014,0.5
1732873998882000000,17.011999755859375,0.5
1732873999883000000,18.013,0.5
1732874000885000000,19.015,0.5
1732874001883000000,20.013,0.5
1732874002884000000,21.014,0.5
1732874003885000000,22.015,0.5
1732874004885000000,23.015,0.5
1732874005887000000,24.017,0.5
1732874006885000000,25.015,0.5
1732874007885000000,26.015,0.5
1732874008885000000,27.015,0.5
1732874009889000000,28.019,0.5
1732874010889000000,29.019,0.5
1732874011891000000,30.021,0.5
1732874012888000000,31.018,0.5
1732874013893000000,32.023,0.5
