time,seconds_elapsed,brightness
1732873207352000000,1.005,0.5
1732873208352000000,2.005,0.5
1732873209353000000,3.006,0.5
1732873210354000000,4.006999755859375,0.5
1732873211358000000,5.011000244140625,0.5
1732873212358000000,6.011000244140625,0.5
1732873213357000000,7.01,0.5
1732873214358000000,8.011000244140625,0.5
1732873215362000000,9.014999755859375,0.5
1732873216359000000,10.012,0.5
1732873217359000000,11.012,0.5
1732873218359000000,12.012,0.5
1732873219359000000,13.012,0.5
1732873220360000000,14.013,0.5
1732873221361000000,15.014,0.5
1732873222362000000,16.014999755859375,0.5
1732873223361000000,17.014,0.5
1732873224362000000,18.014999755859375,0.5
1732873225363000000,19.016,0.5
1732873226363000000,20.016,0.5
1732873227367000000,21.02,0.5
1732873228362000000,22.014999755859375,0.5
1732873229363000000,23.016,0.5
