time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1732873208358000000,2.011000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873210362000000,4.014999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873212361000000,6.014,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873214359000000,8.012,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873216360000000,10.013,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873218360000000,12.013,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873220361000000,14.014,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873222361000000,16.014,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873224361000000,18.014,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873226362000000,20.014999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
1732873228361000000,22.014,wifi,true,true,true,false,,02:00:00:00:00:00,59,10.210.96.183,5220,,
