time,seconds_elapsed,temperature
1732873207351000000,1.004,18.6
1732873208350000000,2.003000244140625,18.6
1732873209351000000,3.004,18.6
1732873210352000000,4.005,18.6
1732873211352000000,5.005,18.6
1732873212353000000,6.006,18.6
1732873213352000000,7.005,18.6
1732873214353000000,8.006,18.6
1732873215354000000,9.006999755859376,18.6
1732873216357000000,10.01,18.6
1732873217358000000,11.011000244140625,18.6
1732873218356000000,12.009,18.6
1732873219357000000,13.01,18.6
1732873220357000000,14.01,18.6
1732873221357000000,15.01,18.6
1732873222357000000,16.01,18.6
1732873223358000000,17.011000244140625,18.6
1732873224358000000,18.011000244140625,18.6
1732873225357000000,19.01,18.6
1732873226359000000,20.012,18.6
1732873227365000000,21.018,18.6
1732873228359000000,22.012,18.6
1732873229358000000,23.011000244140625,18.6
