time,seconds_elapsed,magneticBearing
1732873717005856300,0.174856201171875,261.1495823550032
1732873717015404800,0.18440478515625,260.40957099271833
1732873717025339000,0.1943388671875,253.98139731070086
1732873717035326700,0.20432666015625,250.91275456530747
1732873717045287400,0.214287353515625,249.40496465600566
1732873717055359000,0.22435888671875,248.96248897457818
1732873717065311000,0.23431103515625,247.68215327598494
1732873717075340300,0.24434033203125,248.55762076779766
1732873717085267700,0.254267822265625,248.3177091230251
1732873717095329800,0.264329833984375,246.98912697445806
1732873717105341200,0.274341064453125,246.48877708596763
1732873717115365600,0.28436572265625,247.64544594164852
1732873717125420800,0.2944208984375,246.30784741437054
1732873717135311600,0.3043115234375,247.3322891743312
1732873717145299000,0.314298828125,247.1285773412901
1732873717155337200,0.324337158203125,247.53540859767304
1732873717165389800,0.334389892578125,246.02164319702894
1732873717175284000,0.344283935546875,246.59531044896767
1732873717185285400,0.354285400390625,247.02885482390082
1732873717195306800,0.364306640625,247.1285773412901
1732873717205395200,0.374395263671875,247.00691733152624
1732873717215328300,0.384328369140625,246.27316563336538
1732873717225332000,0.39433203125,245.9426520028335
1732873717235314400,0.404314453125,245.86422209032597
1732873717245362400,0.414362548828125,246.49523596421375
1732873717255335400,0.42433544921875,245.77225441475213
1732873717265296600,0.434296630859375,245.54304408598767
1732873717275336200,0.444336181640625,246.14802872918253
1732873717285295000,0.454295166015625,246.16458740468664
1732873717295351000,0.46435107421875,246.29040130537277
1732873717305264600,0.4742646484375,245.92750727191486
1732873717315298800,0.484298828125,245.92750727191486
1732873717325311000,0.49431103515625,245.78635283787486
1732873717335343000,0.504343017578125,245.8496065749635
1732873717345282800,0.51428271484375,245.78635283787486
1732873717355381800,0.5243818359375,245.78635283787486
1732873717365455400,0.534455322265625,245.78635283787486
1732873717375378700,0.544378662109375,245.78635283787486
1732873717385475300,0.554475341796875,245.78635283787486
1732873717395346700,0.5643466796875,245.78635283787486
1732873717405333200,0.574333251953125,245.78635283787486
1732873717415353300,0.584353271484375,245.78635283787486
1732873717425308400,0.594308349609375,245.72278943409316
1732873717435404800,0.60440478515625,245.72278943409316
1732873717445334800,0.614334716796875,245.72278943409316
1732873717455366000,0.624365966796875,245.65891179897898
1732873717465487400,0.6344873046875,245.65891179897898
1732873717475345400,0.644345458984375,245.65891179897898
1732873717485438700,0.654438720703125,245.65891179897898
1732873717495377700,0.664377685546875,245.65891179897898
1732873717505433300,0.674433349609375,245.59471530168062
1732873717515489000,0.684489013671875,245.59471530168062
1732873717525418500,0.69441845703125,245.59471530168062
1732873717535386000,0.70438623046875,245.59471530168062
1732873717545403400,0.7144033203125,245.5302026454449
1732873717555349000,0.724348876953125,245.5302026454449
1732873717565336600,0.734336669921875,245.6724740412527
1732873717575363000,0.744363037109375,245.6724740412527
1732873717585368800,0.754368896484375,245.6724740412527
1732873717595471400,0.764471435546875,245.60791902422596
1732873717605429200,0.77442919921875,245.60791902422596
1732873717615375400,0.784375244140625,245.46536669510846
1732873717625344300,0.79434423828125,245.40021016531867
1732873717635389200,0.80438916015625,245.4002101653187
1732873717645341400,0.814341552734375,245.4002101653187
1732873717655350300,0.824350341796875,245.4002101653187
1732873717665417200,0.834417236328125,245.4002101653187
1732873717675348500,0.844348388671875,245.4002101653187
1732873717685321500,0.854321533203125,245.40021016531867
1732873717695371500,0.86437158203125,245.40021016531867
1732873717705349000,0.87434912109375,245.40021016531867
1732873717715363000,0.884363037109375,245.19193836973287
1732873717725316900,0.89431689453125,245.19193836973287
1732873717735359000,0.90435888671875,245.33472833825726
1732873717745333200,0.914333251953125,245.33472833825726
1732873717755342600,0.924342529296875,245.33472833825726
1732873717765374500,0.93437451171875,245.33472833825726
1732873717775355600,0.944355712890625,245.33472833825726
1732873717785355000,0.95435498046875,245.33472833825726
1732873717795345000,0.964344970703125,245.33472833825726
1732873717805325800,0.974325927734375,245.33472833825726
1732873717815363300,0.98436328125,245.33472833825726
1732873717825438000,0.99443798828125,245.33472833825726
1732873717835360500,1.004360595703125,245.33472833825726
1732873717845350000,1.014349853515625,245.54304408598767
1732873717855386000,1.02438623046875,245.54304408598767
1732873717865368800,1.034368896484375,245.54304408598767
1732873717875494000,1.044493896484375,245.54304408598767
1732873717885348400,1.054348388671875,245.6862040074659
1732873717895356200,1.064356201171875,245.6862040074659
1732873717905332700,1.074332763671875,245.82968651365547
1732873717915358000,1.08435791015625,245.82968651365547
1732873717925307600,1.0943076171875,246.03751026418587
1732873717935350800,1.104350830078125,246.03751026418587
1732873717945350000,1.114349853515625,246.18134928994476
1732873717955362300,1.1243623046875,246.18134928994476
1732873717965423000,1.134423095703125,246.32550645837625
1732873717975357000,1.14435693359375,246.46998375366343
1732873717985353000,1.15435302734375,246.61477763512607
1732873717995329300,1.164329345703125,246.61477763512607
1732873718005325000,1.174324951171875,246.8430798911562
1732873718015364900,1.18436474609375,246.98912697445806
1732873718025312500,1.1943125,247.2205377654662
1732873718035354400,1.204354248046875,247.3678462210808
1732873718045332200,1.214332275390625,247.60240148101298
1732873718055349500,1.224349609375,247.75097634278762
1732873718065308000,1.234307861328125,247.9887174399193
1732873718075348000,1.244347900390625,248.22871344112403
1732873718085302800,1.254302734375,248.47099270692348
1732873718095334100,1.264334228515625,248.77486605761624
1732873718105324800,1.27432470703125,249.02140020963105
1732873718115330000,1.284330078125,249.42463755075082
1732873718125302800,1.294302734375,249.67686404917117
1732873718135353900,1.304353759765625,250.08813899165898
1732873718145455000,1.314455078125,250.7656286379805
1732873718155326200,1.324326171875,251.7829040714624
