time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1732873717834000000,1.002999755859375,0.7599999904632568,unplugged,false
1732873718834000000,2.002999755859375,0.7599999904632568,unplugged,false
1732873719837000000,3.006,0.7599999904632568,unplugged,false
1732873720836000000,4.005,0.7599999904632568,unplugged,false
1732873721837000000,5.006,0.7599999904632568,unplugged,false
1732873722837000000,6.006,0.7599999904632568,unplugged,false
1732873723839000000,7.008,0.7599999904632568,unplugged,false
1732873724839000000,8.008,0.7599999904632568,unplugged,false
1732873725839000000,9.008,0.7599999904632568,unplugged,false
1732873726851000000,10.02,0.7599999904632568,unplugged,false
1732873727846000000,11.015000244140625,0.7599999904632568,unplugged,false
1732873728847000000,12.016,0.7599999904632568,unplugged,false
1732873729848000000,13.017,0.7599999904632568,unplugged,false
