time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1733230360783000000,1.003,0.9300000071525574,unplugged,false
1733230361783000000,2.003,0.9300000071525574,unplugged,false
1733230362783000000,3.003,0.9300000071525574,unplugged,false
1733230363784000000,4.004,0.9300000071525574,unplugged,false
1733230364785000000,5.005,0.9300000071525574,unplugged,false
1733230365785000000,6.005,0.9300000071525574,unplugged,false
1733230366785000000,7.005,0.9300000071525574,unplugged,false
1733230367786000000,8.005999755859374,0.9300000071525574,unplugged,false
1733230368786000000,9.005999755859374,0.9300000071525574,unplugged,false
1733230369786000000,10.005999755859374,0.9300000071525574,unplugged,false
